scenario,horizon_hours,loads_per_hour,fleet_size,base_cost_per_mile,fixed_load_cost,value_scale_dollars,train_seed,eval_seed,train_label_count,eval_label_count,static_agreement,static_mae,static_p90_abs_error,policy,cascade_band_dollars,loads_seen,accepted,rejected,no_truck,accept_rate,profit,profit_retention_vs_rollout,revenue,direct_cost,loaded_miles,profit_per_loaded_mile,utilization,mean_latency_ms,p50_latency_ms,p95_latency_ms,surrogate_stage_share,rollout_stage_share,final_top_states,cell_elapsed_seconds
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260506,20260507,835,810,0.960494,672.62,1243.10,myopic_margin,,810,756,11,43,0.9333,1660125.90,0.998335,2170099.42,509973.52,108804.58,15.2579,0.6858,0.000104,0.000084,0.000125,0.0000,0.0000,48:60; 13:10; 12:7; 42:5; 24:3; 06:1,8.39
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260508,20260509,857,837,0.980884,795.37,1363.07,surrogate_linear,,837,788,46,3,0.9415,1772428.08,1.005970,2254496.80,482068.72,96633.46,18.3418,0.6631,0.002468,0.002500,0.002916,1.0000,0.0000,48:59; 13:16; 12:12; 24:1; 17:1; 25:1,8.81
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260508,20260509,857,837,0.980884,795.37,1363.07,rollout_teacher,,837,786,51,0,0.9391,1761908.63,1.000000,2253130.11,491221.48,99905.59,17.6357,0.6722,3.548274,3.747667,3.994875,0.0000,1.0000,48:58; 13:15; 12:14; 06:1; 24:1; 17:1,8.81
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260508,20260509,857,837,0.980884,795.37,1363.07,cascade_surrogate_rollout,0.00,837,786,51,0,0.9391,1763973.23,1.001172,2245693.62,481720.39,96684.88,18.2446,0.6623,0.071953,0.003500,0.004334,0.9283,0.0717,48:59; 13:15; 12:13; 24:1; 17:1; 25:1,8.88
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260508,20260509,857,837,0.980884,795.37,1363.07,cascade_surrogate_rollout,100.00,837,787,50,0,0.9403,1764341.07,1.001381,2257753.54,493412.47,100563.55,17.5445,0.6747,0.084406,0.003459,0.004291,0.9259,0.0741,48:58; 13:15; 12:14; 24:1; 17:1; 25:1,8.95
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260508,20260509,857,837,0.980884,795.37,1363.07,cascade_surrogate_rollout,250.00,837,787,50,0,0.9403,1766217.89,1.002446,2254857.62,488639.73,98945.67,17.8504,0.6697,0.128976,0.003583,0.005208,0.9128,0.0872,48:59; 12:15; 13:14; 24:1; 17:1; 04:0,9.06
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260508,20260509,857,837,0.980884,795.37,1363.07,cascade_surrogate_rollout,500.00,837,786,51,0,0.9391,1763789.20,1.001067,2251299.36,487510.17,98647.51,17.8797,0.6684,0.146319,0.003583,0.005333,0.9080,0.0920,48:59; 13:15; 12:14; 24:1; 17:1; 04:0,9.18
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260508,20260509,857,837,0.980884,795.37,1363.07,cascade_surrogate_rollout,700.00,837,786,51,0,0.9391,1763789.20,1.001067,2251299.36,487510.17,98647.51,17.8797,0.6684,0.162738,0.003625,0.005792,0.9032,0.0968,48:59; 13:15; 12:14; 24:1; 17:1; 04:0,9.32
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260508,20260509,857,837,0.980884,795.37,1363.07,cascade_surrogate_rollout,900.00,837,786,51,0,0.9391,1763789.20,1.001067,2251299.36,487510.17,98647.51,17.8797,0.6684,0.228592,0.003625,3.543375,0.8853,0.1147,48:59; 13:15; 12:14; 24:1; 17:1; 04:0,9.51
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260508,20260509,857,837,0.980884,795.37,1363.07,cascade_surrogate_rollout,1200.00,837,786,51,0,0.9391,1761908.63,1.000000,2253130.11,491221.48,99905.59,17.6357,0.6722,0.357727,0.003666,3.633917,0.8483,0.1517,48:58; 13:15; 12:14; 06:1; 24:1; 17:1,9.81
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260510,20260511,853,842,0.976247,580.11,807.39,myopic_margin,,842,798,13,31,0.9477,1779402.45,0.999803,2307726.08,528323.63,111465.64,15.9637,0.7135,0.000105,0.000084,0.000125,0.0000,0.0000,48:59; 12:12; 13:9; 17:6; 06:1; 24:1,8.96
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260510,20260511,853,842,0.976247,580.11,807.39,bid_price,,842,786,20,36,0.9335,1762978.46,0.990574,2233117.56,470139.09,92759.01,19.0060,0.6502,0.000443,0.000458,0.000459,0.0000,0.0000,48:71; 12:8; 13:7; 17:2; 24:1; 36:1,8.96
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260510,20260511,853,842,0.976247,580.11,807.39,surrogate_linear,,842,788,43,11,0.9359,1771459.14,0.995339,2240379.21,468920.07,92176.29,19.2182,0.6493,0.002380,0.002417,0.002708,1.0000,0.0000,48:60; 12:12; 13:8; 06:5; 17:4; 04:1,8.96
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260510,20260511,853,842,0.976247,580.11,807.39,rollout_teacher,,842,795,47,0,0.9442,1779753.79,1.000000,2291711.26,511957.47,106172.02,16.7629,0.6957,3.612953,3.756125,3.965583,0.0000,1.0000,48:60; 13:13; 12:7; 17:4; 42:2; 06:1,8.96
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260510,20260511,853,842,0.976247,580.11,807.39,cascade_surrogate_rollout,0.00,842,790,52,0,0.9382,1776270.50,0.998043,2246010.01,469739.51,92284.58,19.2477,0.6506,0.158225,0.003500,0.005792,0.9394,0.0606,48:60; 13:10; 12:10; 06:6; 17:4; 04:0,9.10
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260510,20260511,853,842,0.976247,580.11,807.39,cascade_surrogate_rollout,100.00,842,790,52,0,0.9382,1776270.50,0.998043,2246010.01,469739.51,92284.58,19.2477,0.6506,0.158211,0.003542,0.005542,0.9394,0.0606,48:60; 13:10; 12:10; 06:6; 17:4; 04:0,9.23
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260510,20260511,853,842,0.976247,580.11,807.39,cascade_surrogate_rollout,250.00,842,790,52,0,0.9382,1776270.50,0.998043,2246010.01,469739.51,92284.58,19.2477,0.6506,0.157888,0.003541,0.005542,0.9394,0.0606,48:60; 13:10; 12:10; 06:6; 17:4; 04:0,9.37
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260510,20260511,853,842,0.976247,580.11,807.39,cascade_surrogate_rollout,500.00,842,790,52,0,0.9382,1774431.56,0.997010,2247312.97,472881.41,93349.63,19.0084,0.6539,0.166256,0.003542,0.005542,0.9371,0.0629,48:59; 13:11; 12:9; 06:7; 17:4; 04:0,9.51
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260510,20260511,853,842,0.976247,580.11,807.39,cascade_surrogate_rollout,700.00,842,790,52,0,0.9382,1774431.56,0.997010,2247312.97,472881.41,93349.63,19.0084,0.6539,0.188404,0.003541,0.025167,0.9311,0.0689,48:59; 13:11; 12:9; 06:7; 17:4; 04:0,9.67
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260510,20260511,853,842,0.976247,580.11,807.39,cascade_surrogate_rollout,900.00,842,790,52,0,0.9382,1774431.56,0.997010,2247312.97,472881.41,93349.63,19.0084,0.6539,0.202158,0.003583,3.489375,0.9276,0.0724,48:59; 13:11; 12:9; 06:7; 17:4; 04:0,9.84
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260510,20260511,853,842,0.976247,580.11,807.39,cascade_surrogate_rollout,1200.00,842,790,52,0,0.9382,1774231.94,0.996897,2247113.35,472881.41,93349.63,19.0063,0.6539,0.272144,0.003542,3.632958,0.9086,0.0914,48:59; 13:11; 12:9; 06:7; 17:4; 04:0,10.07
surrogate_probe_tight_capacity,72,14,70,3.10,250.00,3000.00,20260506,20260507,1023,996,0.788153,1776.05,3675.07,myopic_margin,,996,716,22,258,0.7189,1555587.55,0.936186,2028503.48,472915.93,94811.59,16.4071,0.8024,0.000104,0.000084,0.000125,0.0000,0.0000,48:43; 12:10; 13:7; 06:3; 42:2; 36:2,8.04
surrogate_probe_tight_capacity,72,14,70,3.10,250.00,3000.00,20260506,20260507,1023,996,0.788153,1776.05,3675.07,bid_price,,996,743,29,224,0.7460,1606666.68,0.966926,2054694.41,448027.73,84605.72,18.9900,0.7780,0.000454,0.000458,0.000500,0.0000,0.0000,48:54; 12:10; 13:4; 42:1; 17:1; 04:0,8.04
surrogate_probe_tight_capacity,72,14,70,3.10,250.00,3000.00,20260506,20260507,1023,996,0.788153,1776.05,3675.07,surrogate_linear,,996,701,292,3,0.7038,1562444.79,0.940313,1981752.40,419307.61,78728.26,19.8460,0.7297,0.002337,0.002333,0.002542,1.0000,0.0000,48:48; 13:11; 06:4; 12:4; 04:1; 25:1,8.04
surrogate_probe_tight_capacity,72,14,70,3.10,250.00,3000.00,20260506,20260507,1023,996,0.788153,1776.05,3675.07,rollout_teacher,,996,755,241,0,0.7580,1661622.88,1.000000,2123611.12,461988.24,88141.37,18.8518,0.7992,2.703556,3.342729,3.513000,0.0000,1.0000,48:51; 13:11; 12:5; 24:2; 42:1; 04:0,8.04
surrogate_probe_tight_capacity,72,14,70,3.10,250.00,3000.00,20260506,20260507,1023,996,0.788153,1776.05,3675.07,cascade_surrogate_rollout,0.00,996,712,284,0,0.7149,1579424.23,0.950531,2031540.43,452116.20,88424.58,17.8618,0.7747,0.243345,0.003375,3.281708,0.8353,0.1647,48:48; 13:12; 12:4; 24:2; 06:1; 53:1,8.28
surrogate_probe_tight_capacity,72,14,70,3.10,250.00,3000.00,20260506,20260507,1023,996,0.788153,1776.05,3675.07,cascade_surrogate_rollout,100.00,996,714,282,0,0.7169,1582637.50,0.952465,2031610.00,448972.51,87249.20,18.1393,0.7712,0.406366,0.003417,3.333584,0.7771,0.2229,48:49; 13:12; 12:4; 06:1; 53:1; 42:1,8.69
surrogate_probe_tight_capacity,72,14,70,3.10,250.00,3000.00,20260506,20260507,1023,996,0.788153,1776.05,3675.07,cascade_surrogate_rollout,250.00,996,719,277,0,0.7219,1589197.85,0.956413,2037961.15,448763.30,86778.48,18.3133,0.7723,0.659906,0.003542,3.385125,0.6817,0.3183,48:50; 13:11; 12:5; 53:1; 42:1; 25:1,9.35
surrogate_probe_tight_capacity,72,14,70,3.10,250.00,3000.00,20260506,20260507,1023,996,0.788153,1776.05,3675.07,cascade_surrogate_rollout,500.00,996,733,263,0,0.7359,1614759.02,0.971796,2068637.17,453878.15,87299.40,18.4968,0.7827,0.886536,0.003667,3.424875,0.5974,0.4026,48:51; 13:11; 12:4; 53:1; 42:1; 25:1,10.23
surrogate_probe_tight_capacity,72,14,70,3.10,250.00,3000.00,20260506,20260507,1023,996,0.788153,1776.05,3675.07,cascade_surrogate_rollout,700.00,996,742,254,0,0.7450,1628165.60,0.979865,2084535.08,456369.48,87377.25,18.6337,0.7884,1.153838,0.003980,3.455625,0.5060,0.4940,48:52; 13:10; 12:4; 06:1; 53:1; 42:1,11.38
surrogate_probe_tight_capacity,72,14,70,3.10,250.00,3000.00,20260506,20260507,1023,996,0.788153,1776.05,3675.07,cascade_surrogate_rollout,900.00,996,751,245,0,0.7540,1646976.81,0.991186,2112825.10,465848.29,89709.12,18.3591,0.8030,1.418830,0.004792,3.527500,0.3956,0.6044,48:51; 13:10; 12:4; 06:1; 53:1; 42:1,12.80
surrogate_probe_tight_capacity,72,14,70,3.10,250.00,3000.00,20260506,20260507,1023,996,0.788153,1776.05,3675.07,cascade_surrogate_rollout,1200.00,996,749,247,0,0.7520,1645831.91,0.990497,2108977.99,463146.08,88998.73,18.4928,0.7990,1.684065,0.005708,3.562500,0.3263,0.6737,48:51; 13:11; 12:4; 53:1; 42:1; 25:1,14.48
surrogate_probe_tight_capacity,72,14,70,3.10,250.00,3000.00,20260508,20260509,1026,1013,0.782823,1869.65,3701.91,myopic_margin,,1013,726,22,265,0.7167,1598556.70,0.954371,2078027.14,479470.44,96119.50,16.6309,0.8136,0.000105,0.000084,0.000125,0.0000,0.0000,48:43; 12:12; 13:8; 17:3; 06:1; 24:1,8.13
surrogate_probe_tight_capacity,72,14,70,3.10,250.00,3000.00,20260508,20260509,1026,1013,0.782823,1869.65,3701.91,bid_price,,1013,789,38,186,0.7789,1723411.97,1.028912,2175934.78,452522.81,82346.07,20.9289,0.7964,0.000466,0.000458,0.000500,0.0000,0.0000,48:58; 12:7; 13:5; 04:0; 06:0; 08:0,8.13
surrogate_probe_tight_capacity,72,14,70,3.10,250.00,3000.00,20260508,20260509,1026,1013,0.782823,1869.65,3701.91,surrogate_linear,,1013,764,239,10,0.7542,1713475.65,1.022980,2162251.68,448776.03,83153.56,20.6062,0.7847,0.002382,0.002375,0.002833,1.0000,0.0000,48:53; 13:13; 12:2; 17:1; 36:1; 04:0,8.13
surrogate_probe_tight_capacity,72,14,70,3.10,250.00,3000.00,20260508,20260509,1026,1013,0.782823,1869.65,3701.91,rollout_teacher,,1013,754,259,0,0.7443,1674984.80,1.000000,2139183.24,464198.45,88934.98,18.8338,0.8017,2.577815,3.331750,3.551000,0.0000,1.0000,48:49; 13:12; 12:6; 24:1; 36:1; 17:1,8.13
surrogate_probe_tight_capacity,72,14,70,3.10,250.00,3000.00,20260508,20260509,1026,1013,0.782823,1869.65,3701.91,cascade_surrogate_rollout,0.00,1013,761,252,0,0.7512,1697137.67,1.013226,2148211.25,451073.58,84136.64,20.1712,0.7869,0.293229,0.003500,3.522167,0.8134,0.1866,48:52; 13:12; 12:4; 17:1; 36:1; 04:0,8.43
surrogate_probe_tight_capacity,72,14,70,3.10,250.00,3000.00,20260508,20260509,1026,1013,0.782823,1869.65,3701.91,cascade_surrogate_rollout,100.00,1013,765,248,0,0.7552,1704375.40,1.017547,2160049.10,455673.70,85297.97,19.9814,0.7938,0.466720,0.003709,3.613917,0.7601,0.2399,48:51; 13:13; 12:4; 17:1; 36:1; 04:0,8.91
surrogate_probe_tight_capacity,72,14,70,3.10,250.00,3000.00,20260508,20260509,1026,1013,0.782823,1869.65,3701.91,cascade_surrogate_rollout,250.00,1013,782,231,0,0.7720,1731658.98,1.033836,2187199.65,455540.67,83884.09,20.6435,0.7983,0.653140,0.003750,3.586417,0.6841,0.3159,48:55; 13:10; 12:4; 36:1; 04:0; 06:0,9.57
surrogate_probe_tight_capacity,72,14,70,3.10,250.00,3000.00,20260508,20260509,1026,1013,0.782823,1869.65,3701.91,cascade_surrogate_rollout,500.00,1013,781,232,0,0.7710,1732133.07,1.034119,2201610.78,469477.70,88460.55,19.5809,0.8159,1.024540,0.004083,3.653417,0.5370,0.4630,48:52; 13:11; 12:3; 36:2; 53:1; 42:1,10.61
surrogate_probe_tight_capacity,72,14,70,3.10,250.00,3000.00,20260508,20260509,1026,1013,0.782823,1869.65,3701.91,cascade_surrogate_rollout,700.00,1013,785,228,0,0.7749,1740505.34,1.039117,2205350.24,464844.90,86643.52,20.0881,0.8111,1.180546,0.004042,3.560625,0.4640,0.5360,48:53; 13:12; 12:3; 53:1; 36:1; 04:0,11.81
surrogate_probe_tight_capacity,72,14,70,3.10,250.00,3000.00,20260508,20260509,1026,1013,0.782823,1869.65,3701.91,cascade_surrogate_rollout,900.00,1013,785,228,0,0.7749,1738782.32,1.038088,2205764.50,466982.18,87332.96,19.9098,0.8138,1.338830,0.004333,3.565208,0.4136,0.5864,48:53; 13:11; 12:3; 53:1; 36:1; 42:1,13.16
surrogate_probe_tight_capacity,72,14,70,3.10,250.00,3000.00,20260508,20260509,1026,1013,0.782823,1869.65,3701.91,cascade_surrogate_rollout,1200.00,1013,770,243,0,0.7601,1701633.25,1.015910,2170913.64,469280.39,89284.00,19.0587,0.8126,1.643068,0.005625,3.561500,0.3050,0.6950,48:51; 13:12; 17:3; 12:2; 53:1; 36:1,14.83
surrogate_probe_tight_capacity,72,14,70,3.10,250.00,3000.00,20260510,20260511,990,1023,0.778104,1889.78,3582.10,myopic_margin,,1023,728,22,273,0.7116,1609245.07,0.970252,2097529.72,488284.64,98801.50,16.2877,0.8254,0.000105,0.000084,0.000125,0.0000,0.0000,48:46; 13:9; 12:7; 17:3; 42:2; 06:1,7.73
surrogate_probe_tight_capacity,72,14,70,3.10,250.00,3000.00,20260510,20260511,990,1023,0.778104,1889.78,3582.10,bid_price,,1023,774,28,221,0.7566,1699282.78,1.024538,2165546.13,466263.35,87988.18,19.3126,0.8099,0.000476,0.000459,0.000500,0.0000,0.0000,48:58; 13:7; 12:3; 17:1; 42:1; 04:0,7.73
surrogate_probe_tight_capacity,72,14,70,3.10,250.00,3000.00,20260510,20260511,990,1023,0.778104,1889.78,3582.10,surrogate_linear,,1023,722,275,26,0.7058,1627438.40,0.981221,2048184.44,420746.04,77498.72,20.9996,0.7373,0.002383,0.002416,0.002625,1.0000,0.0000,48:51; 13:11; 06:4; 12:2; 04:1; 17:1,7.73
surrogate_probe_tight_capacity,72,14,70,3.10,250.00,3000.00,20260510,20260511,990,1023,0.778104,1889.78,3582.10,rollout_teacher,,1023,743,280,0,0.7263,1658584.13,1.000000,2135525.79,476941.66,93932.80,17.6571,0.8150,2.543345,3.347208,3.528750,0.0000,1.0000,48:48; 13:11; 12:5; 42:2; 53:1; 24:1,7.73
surrogate_probe_tight_capacity,72,14,70,3.10,250.00,3000.00,20260510,20260511,990,1023,0.778104,1889.78,3582.10,cascade_surrogate_rollout,0.00,1023,733,290,0,0.7165,1648207.37,0.993744,2077410.92,429203.55,79339.85,20.7740,0.7512,0.206619,0.003375,3.364125,0.8817,0.1183,48:52; 13:11; 06:4; 12:2; 17:1; 04:0,7.95
surrogate_probe_tight_capacity,72,14,70,3.10,250.00,3000.00,20260510,20260511,990,1023,0.778104,1889.78,3582.10,cascade_surrogate_rollout,100.00,1023,733,290,0,0.7165,1645469.79,0.992093,2074673.34,429203.55,79339.85,20.7395,0.7512,0.332981,0.003458,3.472708,0.8338,0.1662,48:52; 13:11; 06:4; 12:2; 17:1; 04:0,8.29
surrogate_probe_tight_capacity,72,14,70,3.10,250.00,3000.00,20260510,20260511,990,1023,0.778104,1889.78,3582.10,cascade_surrogate_rollout,250.00,1023,747,276,0,0.7302,1671676.77,1.007894,2100512.52,428835.75,78092.18,21.4065,0.7545,0.577337,0.003625,3.520375,0.7380,0.2620,48:55; 13:10; 06:4; 12:1; 04:0; 08:0,8.88
surrogate_probe_tight_capacity,72,14,70,3.10,250.00,3000.00,20260510,20260511,990,1023,0.778104,1889.78,3582.10,cascade_surrogate_rollout,500.00,1023,741,282,0,0.7243,1658474.15,0.999934,2094701.50,436227.35,80960.44,20.4850,0.7623,0.912638,0.003792,3.513167,0.5767,0.4233,48:52; 13:10; 06:4; 12:3; 36:1; 04:0,9.82
surrogate_probe_tight_capacity,72,14,70,3.10,250.00,3000.00,20260510,20260511,990,1023,0.778104,1889.78,3582.10,cascade_surrogate_rollout,700.00,1023,754,269,0,0.7370,1685938.44,1.016493,2129107.59,443169.15,82151.34,20.5223,0.7748,1.180960,0.004083,3.556541,0.4741,0.5259,48:52; 13:11; 06:4; 12:2; 36:1; 04:0,11.03
surrogate_probe_tight_capacity,72,14,70,3.10,250.00,3000.00,20260510,20260511,990,1023,0.778104,1889.78,3582.10,cascade_surrogate_rollout,900.00,1023,754,269,0,0.7370,1683035.46,1.014742,2129292.16,446256.70,83147.32,20.2416,0.7788,1.340786,0.004333,3.586292,0.4096,0.5904,48:51; 13:11; 06:4; 12:2; 36:1; 17:1,12.40
surrogate_probe_tight_capacity,72,14,70,3.10,250.00,3000.00,20260510,20260511,990,1023,0.778104,1889.78,3582.10,cascade_surrogate_rollout,1200.00,1023,751,272,0,0.7341,1677574.43,1.011450,2124998.18,447423.75,83765.73,20.0270,0.7794,1.579802,0.005458,3.585292,0.3353,0.6647,48:50; 13:11; 06:4; 12:3; 36:1; 17:1,14.02
surrogate_probe_scarce_capacity,72,16,55,3.20,250.00,3400.00,20260506,20260507,1156,1200,0.629167,2242.95,3407.89,myopic_margin,,1202,564,20,618,0.4692,1231242.61,0.879048,1621589.22,390346.60,77920.81,15.8012,0.8208,0.000107,0.000125,0.000125,0.0000,0.0000,48:33; 12:10; 13:6; 36:2; 17:2; 42:1,7.21
surrogate_probe_scarce_capacity,72,16,55,3.20,250.00,3400.00,20260506,20260507,1156,1200,0.629167,2242.95,3407.89,bid_price,,1202,584,25,593,0.4859,1272956.33,0.908829,1638513.52,365557.20,68611.62,18.5531,0.7889,0.000441,0.000417,0.000459,0.0000,0.0000,48:42; 12:8; 13:3; 42:1; 36:1; 04:0,7.21
surrogate_probe_scarce_capacity,72,16,55,3.20,250.00,3400.00,20260506,20260507,1156,1200,0.629167,2242.95,3407.89,surrogate_linear,,1202,515,687,0,0.4285,1161472.91,0.829235,1467467.20,305994.28,55388.84,20.9694,0.6699,0.002266,0.002292,0.002458,1.0000,0.0000,48:39; 13:11; 06:3; 04:1; 36:1; 08:0,7.21
surrogate_probe_scarce_capacity,72,16,55,3.20,250.00,3400.00,20260506,20260507,1156,1200,0.629167,2242.95,3407.89,rollout_teacher,,1202,621,581,0,0.5166,1400655.14,1.000000,1781842.35,381187.22,70605.38,19.8378,0.8270,1.978620,3.096312,3.318334,0.0000,1.0000,48:42; 13:9; 12:2; 42:1; 36:1; 04:0,7.21
surrogate_probe_scarce_capacity,72,16,55,3.20,250.00,3400.00,20260506,20260507,1156,1200,0.629167,2242.95,3407.89,cascade_surrogate_rollout,0.00,1202,523,679,0,0.4351,1172230.65,0.836916,1511470.80,339240.16,65153.17,17.9919,0.7253,0.024458,0.002834,0.003416,0.9542,0.0458,48:40; 13:11; 36:2; 42:1; 17:1; 04:0,7.24
surrogate_probe_scarce_capacity,72,16,55,3.20,250.00,3400.00,20260506,20260507,1156,1200,0.629167,2242.95,3407.89,cascade_surrogate_rollout,100.00,1202,532,670,0,0.4426,1193053.53,0.851782,1537187.08,344133.55,65979.23,18.0823,0.7363,0.214126,0.003166,3.112041,0.8869,0.1131,48:40; 13:11; 36:2; 42:1; 17:1; 04:0,7.50
