report_date,origin,destination,availability,rate_low,rate_high,pct_change
"April 29,2026","IMPERIAL, COACHELLA VALLEYS CA, CENTRAL AND WESTERN AZ, MEXICO CROSSINGS THROUGH CALEXICO AND SAN LUIS",Baltimore,Slight Shortage,8500,9500,(0)
"April 29,2026","IMPERIAL, COACHELLA VALLEYS CA, CENTRAL AND WESTERN AZ, MEXICO CROSSINGS THROUGH CALEXICO AND SAN LUIS",Philadelphia,Slight Shortage,8700,9700,(0)
"April 29,2026",KERN DISTRICT CALIFORNIA,Baltimore,Slight Shortage,8500,8900,
"April 29,2026",KERN DISTRICT CALIFORNIA,Chicago,Slight Shortage,5900,6600,(0)
"April 29,2026",KERN DISTRICT CALIFORNIA,New York,Slight Shortage,9700,10400,(0)
"April 29,2026",KERN DISTRICT CALIFORNIA,Philadelphia,Slight Shortage,8600,9500,(0)
"April 29,2026",OXNARD DISTRICT CALIFORNIA,Baltimore,Slight Shortage,7900,8200,
"April 29,2026",OXNARD DISTRICT CALIFORNIA,Philadelphia,Slight Shortage,9400,10200,(0)
"April 29,2026",SALINAS-WATSONVILLE CALIFORNIA,Baltimore,Slight Shortage,9000,10100,(0)
"April 29,2026",SALINAS-WATSONVILLE CALIFORNIA,Chicago,Slight Shortage,6000,7300,(0)
"April 29,2026",SALINAS-WATSONVILLE CALIFORNIA,New York,Slight Shortage,9800,10500,(0)
"April 29,2026",SALINAS-WATSONVILLE CALIFORNIA,Philadelphia,Slight Shortage,9500,10400,(0)
"April 29,2026",SANTA MARIA CALIFORNIA,Baltimore,Slight Shortage,8700,9400,(0)
"April 29,2026",SANTA MARIA CALIFORNIA,Philadelphia,Slight Shortage,9000,9500,(0)
"April 29,2026",SOUTH AND CENTRAL DISTRICT CALIFORNIA,Baltimore,Slight Shortage,9500,10200,(+2)
"April 29,2026",SOUTH AND CENTRAL DISTRICT CALIFORNIA,Chicago,Slight Shortage,6200,7000,(+2)
"April 29,2026",SOUTH AND CENTRAL DISTRICT CALIFORNIA,New York,Slight Shortage,9800,10200,(0)
"April 29,2026",SOUTH AND CENTRAL DISTRICT CALIFORNIA,Philadelphia,Slight Shortage,9400,10000,(0)
"April 29,2026",SOUTH AND CENTRAL DISTRICT CALIFORNIA,Atlanta,Adequate,5900,7100,
"April 29,2026",SOUTH AND CENTRAL DISTRICT CALIFORNIA,Baltimore,Adequate,7800,8600,
"April 29,2026",SOUTH AND CENTRAL DISTRICT CALIFORNIA,Boston,Adequate,8700,9500,
"April 29,2026",SOUTH AND CENTRAL DISTRICT CALIFORNIA,Chicago,Adequate,5600,6200,
"April 29,2026",SOUTH AND CENTRAL DISTRICT CALIFORNIA,Dallas,Adequate,4600,5200,
"April 29,2026",SOUTH AND CENTRAL DISTRICT CALIFORNIA,Miami,Adequate,8500,9700,
"April 29,2026",SOUTH AND CENTRAL DISTRICT CALIFORNIA,New York,Adequate,8700,9900,
"April 29,2026",SOUTH AND CENTRAL DISTRICT CALIFORNIA,Philadelphia,Adequate,7700,8900,
"April 29,2026",SOUTH AND CENTRAL DISTRICT CALIFORNIA,Seattle,Adequate,3800,4500,
"April 29,2026",SOUTH AND CENTRAL DISTRICT CALIFORNIA,Baltimore,Adequate,5600,5850,(0)
"April 29,2026",SOUTH AND CENTRAL DISTRICT CALIFORNIA,Boston,Adequate,6200,6250,(0)
"April 29,2026",SOUTH AND CENTRAL DISTRICT CALIFORNIA,Dallas,Adequate,2200,2250,(0)
"April 29,2026",SAN LUIS VALLEY COLORADO,Atlanta,Shortage,1700,1900,(+6)
"April 29,2026",SAN LUIS VALLEY COLORADO,Baltimore,Shortage,3700,3900,(+12)
"April 29,2026",SAN LUIS VALLEY COLORADO,Chicago,Shortage,3300,3500,(+13)
"April 29,2026",SAN LUIS VALLEY COLORADO,New York,Shortage,5300,5500,(+35)
"April 29,2026",SAN LUIS VALLEY COLORADO,Philadelphia,Shortage,4300,4500,(+19)
"April 29,2026",SAN LUIS VALLEY COLORADO,Boston,Shortage,5400,5600,(+20)
"April 29,2026",VIDALIA DISTRICT GEORGIA,Atlanta,Adequate,3500,3500,
"April 29,2026",VIDALIA DISTRICT GEORGIA,Boston,Adequate,2500,2800,
"April 29,2026",VIDALIA DISTRICT GEORGIA,Miami,Adequate,2800,4500,
"April 29,2026",VIDALIA DISTRICT GEORGIA,New York,Adequate,2200,2500,(0)
"April 29,2026",VIDALIA DISTRICT GEORGIA,Philadelphia,Adequate,1800,2500,(0)
"April 29,2026",MEXICO CROSSINGS THROUGH SOUTH TEXAS,Atlanta,Slight Shortage,5200,6200,
"April 29,2026",MEXICO CROSSINGS THROUGH SOUTH TEXAS,Baltimore,Slight Shortage,6700,7400,
"April 29,2026",MEXICO CROSSINGS THROUGH SOUTH TEXAS,Boston,Slight Shortage,6000,7200,
"April 29,2026",MEXICO CROSSINGS THROUGH SOUTH TEXAS,Chicago,Slight Shortage,5000,5800,
"April 29,2026",MEXICO CROSSINGS THROUGH SOUTH TEXAS,Dallas,Slight Shortage,2400,2800,
"April 29,2026",MEXICO CROSSINGS THROUGH SOUTH TEXAS,Los Angeles,Slight Shortage,4500,5400,
"April 29,2026",MEXICO CROSSINGS THROUGH SOUTH TEXAS,Miami,Slight Shortage,5000,6200,
"April 29,2026",MEXICO CROSSINGS THROUGH SOUTH TEXAS,New York,Slight Shortage,7600,8200,
"April 29,2026",MEXICO CROSSINGS THROUGH SOUTH TEXAS,Philadelphia,Slight Shortage,7000,8000,
"April 29,2026",YAKIMA VALLEY AND WENATCHEE DISTRICT WASHINGTON,Atlanta,Adequate,6800,7900,
"April 29,2026",YAKIMA VALLEY AND WENATCHEE DISTRICT WASHINGTON,Baltimore,Adequate,7400,8600,
"April 29,2026",YAKIMA VALLEY AND WENATCHEE DISTRICT WASHINGTON,Boston,Adequate,8000,9200,
"April 29,2026",YAKIMA VALLEY AND WENATCHEE DISTRICT WASHINGTON,Chicago,Adequate,4700,6300,
"April 29,2026",YAKIMA VALLEY AND WENATCHEE DISTRICT WASHINGTON,Dallas,Adequate,4500,6300,
"April 29,2026",YAKIMA VALLEY AND WENATCHEE DISTRICT WASHINGTON,Los Angeles,Adequate,2000,3000,
"April 29,2026",YAKIMA VALLEY AND WENATCHEE DISTRICT WASHINGTON,Miami,Adequate,7900,9300,
"April 29,2026",YAKIMA VALLEY AND WENATCHEE DISTRICT WASHINGTON,New York,Adequate,7800,9100,
"April 29,2026",YAKIMA VALLEY AND WENATCHEE DISTRICT WASHINGTON,Philadelphia,Adequate,8100,9300,
