scenario,origin_state,dest_state,hour_bucket,lambda_mean,n_loads
freightbidbench_tight_x2,06,*,2,45.3173,2
freightbidbench_tight_x2,06,*,3,31.7221,5
freightbidbench_tight_x2,06,*,4,39.6526,3
freightbidbench_tight_x2,06,*,5,35.2468,4
freightbidbench_tight_x2,06,*,6,39.6526,3
freightbidbench_tight_x2,06,*,7,74.1391,2
freightbidbench_tight_x2,06,*,8,250.0438,5
freightbidbench_tight_x2,06,*,10,39.6526,3
freightbidbench_tight_x2,06,*,11,45.3173,2
freightbidbench_tight_x2,06,*,12,45.3173,2
freightbidbench_tight_x2,06,*,13,52.8702,1
freightbidbench_tight_x2,06,*,14,35.2468,4
freightbidbench_tight_x2,06,*,15,345.1899,5
freightbidbench_tight_x2,06,*,16,28.8383,6
freightbidbench_tight_x2,06,*,18,52.8702,1
freightbidbench_tight_x2,06,*,19,45.3173,2
freightbidbench_tight_x2,06,*,20,31.7221,5
freightbidbench_tight_x2,06,*,21,26.4351,7
freightbidbench_tight_x2,06,*,22,35.2468,4
freightbidbench_tight_x2,06,*,23,28.8383,6
freightbidbench_tight_x2,08,*,1,0.0000,1
freightbidbench_tight_x2,08,*,15,0.0000,1
freightbidbench_tight_x2,13,*,0,204.7217,10
freightbidbench_tight_x2,13,*,1,177.1002,11
freightbidbench_tight_x2,13,*,2,118.2719,12
freightbidbench_tight_x2,13,*,3,130.5884,16
freightbidbench_tight_x2,13,*,4,267.1904,9
freightbidbench_tight_x2,13,*,5,202.7521,17
freightbidbench_tight_x2,13,*,6,86.9995,21
freightbidbench_tight_x2,13,*,7,111.4207,12
freightbidbench_tight_x2,13,*,8,760.0617,14
freightbidbench_tight_x2,13,*,9,636.7968,7
freightbidbench_tight_x2,13,*,10,632.7164,10
freightbidbench_tight_x2,13,*,11,675.7735,11
freightbidbench_tight_x2,13,*,12,558.0464,12
freightbidbench_tight_x2,13,*,13,532.5748,17
freightbidbench_tight_x2,13,*,14,589.1244,19
freightbidbench_tight_x2,13,*,15,768.1457,8
freightbidbench_tight_x2,13,*,16,115.1362,9
freightbidbench_tight_x2,13,*,17,211.8578,17
freightbidbench_tight_x2,13,*,18,109.4106,11
freightbidbench_tight_x2,13,*,19,196.6935,15
freightbidbench_tight_x2,13,*,20,147.8066,11
freightbidbench_tight_x2,13,*,21,272.4128,13
freightbidbench_tight_x2,13,*,22,131.4930,17
freightbidbench_tight_x2,13,*,23,369.9596,8
freightbidbench_tight_x2,48,*,0,385.7084,70
freightbidbench_tight_x2,48,*,1,312.1157,60
freightbidbench_tight_x2,48,*,2,305.2460,69
freightbidbench_tight_x2,48,*,3,182.1223,49
freightbidbench_tight_x2,48,*,4,139.7076,80
freightbidbench_tight_x2,48,*,5,131.7097,68
freightbidbench_tight_x2,48,*,6,146.1005,62
freightbidbench_tight_x2,48,*,7,38.8454,64
freightbidbench_tight_x2,48,*,8,1431.4715,72
freightbidbench_tight_x2,48,*,9,1360.5726,74
freightbidbench_tight_x2,48,*,10,1100.8442,78
freightbidbench_tight_x2,48,*,11,901.0377,71
freightbidbench_tight_x2,48,*,12,854.7311,65
freightbidbench_tight_x2,48,*,13,1045.9425,67
freightbidbench_tight_x2,48,*,14,1089.7209,58
freightbidbench_tight_x2,48,*,15,1453.1236,75
freightbidbench_tight_x2,48,*,16,118.4998,76
freightbidbench_tight_x2,48,*,17,108.7783,66
freightbidbench_tight_x2,48,*,18,116.7556,71
freightbidbench_tight_x2,48,*,19,178.1130,72
freightbidbench_tight_x2,48,*,20,305.3579,68
freightbidbench_tight_x2,48,*,21,160.6974,68
freightbidbench_tight_x2,48,*,22,423.4381,59
freightbidbench_tight_x2,48,*,23,315.1261,64
freightbidbench_tight_x2,53,*,0,0.0000,1
freightbidbench_tight_x2,53,*,6,0.0000,2
freightbidbench_tight_x2,53,*,7,0.0000,1
freightbidbench_tight_x2,53,*,9,0.0000,2
freightbidbench_tight_x2,53,*,10,0.0000,1
freightbidbench_tight_x2,53,*,19,0.0000,1
freightbidbench_tight_x2,04,*,-1,61.4457,15
freightbidbench_tight_x2,06,*,-1,63.4442,87
freightbidbench_tight_x2,08,*,-1,0.0000,2
freightbidbench_tight_x2,13,*,-1,322.3813,307
freightbidbench_tight_x2,48,*,-1,536.0664,1626
freightbidbench_tight_x2,53,*,-1,0.0000,8
freightbidbench_tight_x2,*,*,-1,477.7782,2045
