scenario,policy,cascade_band_dollars,n_runs,mean_profit,std_profit,ci95_profit_halfwidth,mean_profit_retention_vs_rollout,min_profit_retention_vs_rollout,max_profit_retention_vs_rollout,mean_latency_ms,mean_p95_latency_ms,mean_rollout_stage_share,mean_surrogate_stage_share,mean_accepted,mean_no_truck,mean_accept_rate,mean_static_agreement,mean_static_mae,mean_static_p90_abs_error
surrogate_probe_scarce_capacity,cascade_surrogate_rollout,900.00,3,1382156.47,71828.18,178445.49,0.957339,0.920551,0.978298,1.113271,3.316931,0.490100,0.509900,611.33,0.00,0.509700,0.674184,2095.83,3648.75
surrogate_probe_scarce_capacity,cascade_surrogate_rollout,1200.00,3,1424406.39,67344.58,167306.71,0.986683,0.953046,1.008793,1.461091,3.360597,0.683467,0.316533,630.67,0.00,0.525767,0.674184,2095.83,3648.75
surrogate_probe_scarce_capacity,rollout_teacher,,3,1443588.39,50631.46,125785.66,1.000000,1.000000,1.000000,2.019630,3.362320,1.000000,0.000000,644.00,0.00,0.536700,0.674184,2095.83,3648.75
surrogate_probe_tight_capacity,myopic_margin,,3,1587796.44,28401.05,70557.82,0.953603,0.936186,0.970252,0.000105,0.000125,0.000000,0.000000,723.33,265.33,0.715733,0.783027,1845.16,3653.03
surrogate_probe_tight_capacity,bid_price,,3,1676453.81,61629.84,153109.36,1.006792,0.966926,1.028912,0.000465,0.000500,0.000000,0.000000,768.67,210.33,0.760500,0.783027,1845.16,3653.03
surrogate_probe_tight_capacity,surrogate_linear,,3,1634452.95,75759.38,188211.91,0.981505,0.940313,1.022980,0.002367,0.002667,0.000000,1.000000,729.00,13.00,0.721267,0.783027,1845.16,3653.03
surrogate_probe_tight_capacity,cascade_surrogate_rollout,0.00,3,1641589.76,59135.08,146911.55,0.985834,0.950531,1.013226,0.247731,3.389333,0.156533,0.843467,735.33,0.00,0.727533,0.783027,1845.16,3653.03
surrogate_probe_tight_capacity,cascade_surrogate_rollout,100.00,3,1644160.90,60879.50,151245.28,0.987368,0.952465,1.017547,0.402022,3.473403,0.209667,0.790333,737.33,0.00,0.729533,0.783027,1845.16,3653.03
surrogate_probe_tight_capacity,cascade_surrogate_rollout,250.00,3,1664177.87,71526.00,177694.77,0.999381,0.956413,1.033836,0.630128,3.497306,0.298733,0.701267,749.33,0.00,0.741367,0.783027,1845.16,3653.03
surrogate_probe_tight_capacity,cascade_surrogate_rollout,500.00,3,1668455.41,59320.20,147371.44,1.001950,0.971796,1.034119,0.941238,3.530486,0.429633,0.570367,751.67,0.00,0.743733,0.783027,1845.16,3653.03
surrogate_probe_tight_capacity,cascade_surrogate_rollout,700.00,3,1684869.79,56177.49,139563.89,1.011825,0.979865,1.039117,1.171781,3.524264,0.518633,0.481367,760.33,0.00,0.752300,0.783027,1845.16,3653.03
surrogate_probe_tight_capacity,cascade_surrogate_rollout,900.00,3,1689598.20,46253.27,114908.77,1.014672,0.991186,1.038088,1.366149,3.559667,0.593733,0.406267,763.33,0.00,0.755300,0.783027,1845.16,3653.03
surrogate_probe_tight_capacity,cascade_surrogate_rollout,1200.00,3,1675013.20,27988.70,69533.40,1.005952,0.990497,1.015910,1.635645,3.569764,0.677800,0.322200,756.67,0.00,0.748733,0.783027,1845.16,3653.03
surrogate_probe_tight_capacity,rollout_teacher,,3,1665063.94,8725.03,21675.93,1.000000,1.000000,1.000000,2.608239,3.530917,1.000000,0.000000,750.67,0.00,0.742867,0.783027,1845.16,3653.03
