report_date,usda_origin,origin_state,origin_name,origin_mapping_note,destination_city,destination_state,destination_name,availability,scarcity_multiplier,rate_low,rate_high,rate_midpoint,pct_change,faf_tons_2024,faf_value_2024,faf_tmiles_2024
"April 29,2026",SANTA MARIA CALIFORNIA,06,California,direct,Philadelphia,42,Pennsylvania,Slight Shortage,1.15,9000,9500,9250.00,(0),1487.838303,10829.058522,4010.948161
"April 29,2026",SOUTH AND CENTRAL DISTRICT CALIFORNIA,06,California,direct,Baltimore,24,Maryland,Slight Shortage,1.15,9500,10200,9850.00,(+2),894.668196,4454.830720,2477.880156
"April 29,2026",SOUTH AND CENTRAL DISTRICT CALIFORNIA,06,California,direct,Chicago,17,Illinois,Slight Shortage,1.15,6200,7000,6600.00,(+2),2018.577357,12019.562249,4114.333986
"April 29,2026",SOUTH AND CENTRAL DISTRICT CALIFORNIA,06,California,direct,New York,36,New York,Slight Shortage,1.15,9800,10200,10000.00,(0),1477.117616,10194.810886,4166.296078
"April 29,2026",SOUTH AND CENTRAL DISTRICT CALIFORNIA,06,California,direct,Philadelphia,42,Pennsylvania,Slight Shortage,1.15,9400,10000,9700.00,(0),1487.838303,10829.058522,4010.948161
"April 29,2026",SOUTH AND CENTRAL DISTRICT CALIFORNIA,06,California,direct,Atlanta,13,Georgia,Adequate,1.00,5900,7100,6500.00,,1459.464969,9251.382974,3365.749570
"April 29,2026",SOUTH AND CENTRAL DISTRICT CALIFORNIA,06,California,direct,Baltimore,24,Maryland,Adequate,1.00,7800,8600,8200.00,,894.668196,4454.830720,2477.880156
"April 29,2026",SOUTH AND CENTRAL DISTRICT CALIFORNIA,06,California,direct,Boston,25,Massachusetts,Adequate,1.00,8700,9500,9100.00,,509.224831,3522.388646,1568.953780
"April 29,2026",SOUTH AND CENTRAL DISTRICT CALIFORNIA,06,California,direct,Chicago,17,Illinois,Adequate,1.00,5600,6200,5900.00,,2018.577357,12019.562249,4114.333986
"April 29,2026",SOUTH AND CENTRAL DISTRICT CALIFORNIA,06,California,direct,Dallas,48,Texas,Adequate,1.00,4600,5200,4900.00,,5828.976840,32158.419305,8473.131579
"April 29,2026",SOUTH AND CENTRAL DISTRICT CALIFORNIA,06,California,direct,Miami,12,Florida,Adequate,1.00,8500,9700,9100.00,,1704.883710,15732.816987,4467.815988
"April 29,2026",SOUTH AND CENTRAL DISTRICT CALIFORNIA,06,California,direct,New York,36,New York,Adequate,1.00,8700,9900,9300.00,,1477.117616,10194.810886,4166.296078
"April 29,2026",SOUTH AND CENTRAL DISTRICT CALIFORNIA,06,California,direct,Philadelphia,42,Pennsylvania,Adequate,1.00,7700,8900,8300.00,,1487.838303,10829.058522,4010.948161
"April 29,2026",SOUTH AND CENTRAL DISTRICT CALIFORNIA,06,California,direct,Seattle,53,Washington,Adequate,1.00,3800,4500,4150.00,,4939.416602,18372.158573,4422.276722
"April 29,2026",SOUTH AND CENTRAL DISTRICT CALIFORNIA,06,California,direct,Baltimore,24,Maryland,Adequate,1.00,5600,5850,5725.00,(0),894.668196,4454.830720,2477.880156
"April 29,2026",SOUTH AND CENTRAL DISTRICT CALIFORNIA,06,California,direct,Boston,25,Massachusetts,Adequate,1.00,6200,6250,6225.00,(0),509.224831,3522.388646,1568.953780
"April 29,2026",SOUTH AND CENTRAL DISTRICT CALIFORNIA,06,California,direct,Dallas,48,Texas,Adequate,1.00,2200,2250,2225.00,(0),5828.976840,32158.419305,8473.131579
"April 29,2026",SAN LUIS VALLEY COLORADO,08,Colorado,direct,Atlanta,13,Georgia,Shortage,1.35,1700,1900,1800.00,(+6),334.855124,715.090520,493.812116
"April 29,2026",SAN LUIS VALLEY COLORADO,08,Colorado,direct,Baltimore,24,Maryland,Shortage,1.35,3700,3900,3800.00,(+12),79.074043,451.366023,134.101260
"April 29,2026",SAN LUIS VALLEY COLORADO,08,Colorado,direct,Chicago,17,Illinois,Shortage,1.35,3300,3500,3400.00,(+13),579.864263,5024.321494,587.449661
"April 29,2026",SAN LUIS VALLEY COLORADO,08,Colorado,direct,New York,36,New York,Shortage,1.35,5300,5500,5400.00,(+35),118.129141,482.682246,219.919836
"April 29,2026",SAN LUIS VALLEY COLORADO,08,Colorado,direct,Philadelphia,42,Pennsylvania,Shortage,1.35,4300,4500,4400.00,(+19),246.498205,929.611469,403.688723
"April 29,2026",SAN LUIS VALLEY COLORADO,08,Colorado,direct,Boston,25,Massachusetts,Shortage,1.35,5400,5600,5500.00,(+20),73.213039,1993.702462,152.090145
"April 29,2026",VIDALIA DISTRICT GEORGIA,13,Georgia,direct,Atlanta,13,Georgia,Adequate,1.00,3500,3500,3500.00,,269152.424030,179702.769344,23677.290600
"April 29,2026",VIDALIA DISTRICT GEORGIA,13,Georgia,direct,Boston,25,Massachusetts,Adequate,1.00,2500,2800,2650.00,,322.169473,1102.750977,370.905201
"April 29,2026",VIDALIA DISTRICT GEORGIA,13,Georgia,direct,Miami,12,Florida,Adequate,1.00,2800,4500,3650.00,,19720.798695,47680.812501,5879.907861
"April 29,2026",VIDALIA DISTRICT GEORGIA,13,Georgia,direct,New York,36,New York,Adequate,1.00,2200,2500,2350.00,(0),748.202057,2606.681935,702.072530
"April 29,2026",VIDALIA DISTRICT GEORGIA,13,Georgia,direct,Philadelphia,42,Pennsylvania,Adequate,1.00,1800,2500,2150.00,(0),1501.635305,4705.339805,1148.619161
"April 29,2026",MEXICO CROSSINGS THROUGH SOUTH TEXAS,48,Texas,direct,Atlanta,13,Georgia,Slight Shortage,1.15,5200,6200,5700.00,,6997.727521,8923.462356,6039.655064
"April 29,2026",MEXICO CROSSINGS THROUGH SOUTH TEXAS,48,Texas,direct,Baltimore,24,Maryland,Slight Shortage,1.15,6700,7400,7050.00,,791.721313,1925.542382,1180.291597
"April 29,2026",MEXICO CROSSINGS THROUGH SOUTH TEXAS,48,Texas,direct,Boston,25,Massachusetts,Slight Shortage,1.15,6000,7200,6600.00,,480.325132,2316.811827,920.320029
"April 29,2026",MEXICO CROSSINGS THROUGH SOUTH TEXAS,48,Texas,direct,Chicago,17,Illinois,Slight Shortage,1.15,5000,5800,5400.00,,3755.231521,10721.450283,4134.962256
"April 29,2026",MEXICO CROSSINGS THROUGH SOUTH TEXAS,48,Texas,direct,Dallas,48,Texas,Slight Shortage,1.15,2400,2800,2600.00,,1384702.701546,933935.900395,145581.182465
"April 29,2026",MEXICO CROSSINGS THROUGH SOUTH TEXAS,48,Texas,direct,Los Angeles,06,California,Slight Shortage,1.15,4500,5400,4950.00,,6088.551487,17448.454917,8299.962354
"April 29,2026",MEXICO CROSSINGS THROUGH SOUTH TEXAS,48,Texas,direct,Miami,12,Florida,Slight Shortage,1.15,5000,6200,5600.00,,5720.576272,9956.123452,6518.200345
"April 29,2026",MEXICO CROSSINGS THROUGH SOUTH TEXAS,48,Texas,direct,New York,36,New York,Slight Shortage,1.15,7600,8200,7900.00,,1653.450643,3975.641908,2705.210933
"April 29,2026",MEXICO CROSSINGS THROUGH SOUTH TEXAS,48,Texas,direct,Philadelphia,42,Pennsylvania,Slight Shortage,1.15,7000,8000,7500.00,,2559.664215,5741.706792,3886.081965
"April 29,2026",YAKIMA VALLEY AND WENATCHEE DISTRICT WASHINGTON,53,Washington,direct,Atlanta,13,Georgia,Adequate,1.00,6800,7900,7350.00,,156.516951,558.696604,408.460861
"April 29,2026",YAKIMA VALLEY AND WENATCHEE DISTRICT WASHINGTON,53,Washington,direct,Baltimore,24,Maryland,Adequate,1.00,7400,8600,8000.00,,44.341326,233.090541,126.791449
"April 29,2026",YAKIMA VALLEY AND WENATCHEE DISTRICT WASHINGTON,53,Washington,direct,Boston,25,Massachusetts,Adequate,1.00,8000,9200,8600.00,,111.487015,377.603331,338.689765
"April 29,2026",YAKIMA VALLEY AND WENATCHEE DISTRICT WASHINGTON,53,Washington,direct,Chicago,17,Illinois,Adequate,1.00,4700,6300,5500.00,,282.741615,1940.637468,560.011103
"April 29,2026",YAKIMA VALLEY AND WENATCHEE DISTRICT WASHINGTON,53,Washington,direct,Dallas,48,Texas,Adequate,1.00,4500,6300,5400.00,,436.222573,2212.858260,922.750015
"April 29,2026",YAKIMA VALLEY AND WENATCHEE DISTRICT WASHINGTON,53,Washington,direct,Los Angeles,06,California,Adequate,1.00,2000,3000,2500.00,,4946.524808,10894.007568,4816.394228
"April 29,2026",YAKIMA VALLEY AND WENATCHEE DISTRICT WASHINGTON,53,Washington,direct,Miami,12,Florida,Adequate,1.00,7900,9300,8600.00,,212.172499,1231.087775,644.637684
"April 29,2026",YAKIMA VALLEY AND WENATCHEE DISTRICT WASHINGTON,53,Washington,direct,New York,36,New York,Adequate,1.00,7800,9100,8450.00,,167.637475,597.099790,468.600733
"April 29,2026",YAKIMA VALLEY AND WENATCHEE DISTRICT WASHINGTON,53,Washington,direct,Philadelphia,42,Pennsylvania,Adequate,1.00,8100,9300,8700.00,,292.639866,1260.503685,793.558991
