origin_state,origin_name,destination_state,destination_name,tons_2024,value_2024,tmiles_2024
18,Indiana,17,Illinois,22459.409517,23598.995062,3934.336826
34,New Jersey,42,Pennsylvania,21601.906606,34400.431906,2346.882194
36,New York,42,Pennsylvania,21393.721282,29465.306796,4489.433603
55,Wisconsin,27,Minnesota,20380.953867,15689.037155,4736.159274
39,Ohio,18,Indiana,19994.609086,27572.971480,3633.240460
13,Georgia,12,Florida,19720.798695,47680.812501,5879.907861
18,Indiana,39,Ohio,19704.032589,30557.961877,3916.883987
27,Minnesota,55,Wisconsin,19203.065829,22252.561570,4509.080640
40,Oklahoma,48,Texas,18738.367000,20139.506459,5520.636656
48,Texas,40,Oklahoma,18005.627375,28513.587937,6319.898418
56,Wyoming,56,Wyoming,17848.983186,8917.771291,2808.086301
42,Pennsylvania,39,Ohio,17645.384296,27260.670499,3842.891294
10,Delaware,10,Delaware,17539.851985,13379.810382,463.677428
48,Texas,37,North Carolina,17495.073621,4445.920981,21078.828495
34,New Jersey,36,New York,17483.273451,52618.239477,1411.318338
41,Oregon,53,Washington,17367.115168,22270.093795,3665.691189
55,Wisconsin,17,Illinois,17217.949504,29026.244065,3178.140822
42,Pennsylvania,36,New York,16965.439844,36897.480809,3328.054237
26,Michigan,18,Indiana,16827.661258,19966.118640,3832.543926
17,Illinois,55,Wisconsin,16377.245767,40303.209595,3345.755801
24,Maryland,51,Virginia,15481.425345,16119.554536,2259.940230
17,Illinois,29,Missouri,15450.739545,17210.270791,2971.189209
37,North Carolina,45,South Carolina,15434.571436,25562.363344,2629.776876
22,Louisiana,48,Texas,14798.291958,12381.359747,4275.727637
48,Texas,22,Louisiana,14651.649696,24342.308313,5371.308127
02,Alaska,02,Alaska,14463.343828,9308.584231,2402.082466
26,Michigan,39,Ohio,13951.005633,27342.118904,2915.420209
44,Rhode Island,44,Rhode Island,13948.255718,10080.837933,242.632341
39,Ohio,42,Pennsylvania,13652.557395,27145.607235,3655.197239
37,North Carolina,51,Virginia,13608.821047,21552.350470,2969.632150
36,New York,34,New Jersey,13302.790733,36014.561460,1405.901316
18,Indiana,26,Michigan,13222.184104,21648.120777,3023.874695
45,South Carolina,37,North Carolina,12732.369532,18475.304182,2187.305944
01,Alabama,13,Georgia,12558.336401,16567.660758,2488.831225
50,Vermont,50,Vermont,12407.484962,6325.297071,814.418195
53,Washington,41,Oregon,12402.699525,18314.991782,2548.133428
27,Minnesota,19,Iowa,12291.619498,9156.867439,3121.847987
39,Ohio,26,Michigan,12190.427519,25081.166229,2689.478011
29,Missouri,17,Illinois,12097.417586,17647.342703,2289.416460
19,Iowa,31,Nebraska,12062.577256,10013.747905,2799.330787
39,Ohio,21,Kentucky,11809.220738,17443.426502,2302.639218
18,Indiana,21,Kentucky,11478.708854,15783.513676,2272.638240
25,Massachusetts,33,New Hampshire,11391.660860,16986.639111,885.996562
31,Nebraska,19,Iowa,11077.462130,7389.651931,2278.776171
12,Florida,13,Georgia,10966.929506,14254.309708,3581.439747
20,Kansas,29,Missouri,10913.385325,13750.487580,1579.714482
27,Minnesota,38,North Dakota,10696.068897,5479.300544,3987.797041
06,California,32,Nevada,10667.446671,25509.037372,3323.943334
47,Tennessee,21,Kentucky,10625.131329,16999.458547,2074.690060
51,Virginia,37,North Carolina,10574.603799,14009.881083,2149.423724
42,Pennsylvania,24,Maryland,10552.708329,16515.309537,1660.597307
40,Oklahoma,20,Kansas,10550.256391,5392.139591,2679.220637
24,Maryland,42,Pennsylvania,10546.710300,13199.292840,1730.434491
47,Tennessee,13,Georgia,10254.337404,28063.065790,2851.703968
51,Virginia,24,Maryland,10053.157763,12466.294018,1309.962304
19,Iowa,17,Illinois,9650.868075,12612.237371,2696.521376
21,Kentucky,47,Tennessee,9552.063827,15728.801306,1868.243030
13,Georgia,45,South Carolina,9538.453433,14690.355436,1828.691849
47,Tennessee,28,Mississippi,9488.669560,11809.679969,1548.203324
13,Georgia,01,Alabama,9469.104874,16185.649884,2007.020879
06,California,04,Arizona,9069.021742,28694.183958,3852.461404
45,South Carolina,13,Georgia,9025.072917,12949.657602,1815.009431
21,Kentucky,18,Indiana,8808.159887,12260.668727,1522.821470
09,Connecticut,36,New York,8751.232279,20589.555707,1035.466132
29,Missouri,20,Kansas,8686.106577,12842.508597,1223.036083
21,Kentucky,39,Ohio,8642.708072,12858.065454,1722.951062
17,Illinois,19,Iowa,8574.752712,14329.894645,2358.971254
04,Arizona,06,California,8362.706182,14031.349361,3685.375964
17,Illinois,26,Michigan,8058.189927,24622.044484,2337.659778
38,North Dakota,27,Minnesota,7987.897208,5330.180980,2792.437971
41,Oregon,06,California,7713.362523,10097.117131,4103.549030
05,Arkansas,48,Texas,7549.024019,8924.905057,2995.545420
01,Alabama,12,Florida,7454.993509,12000.004332,2600.770879
25,Massachusetts,36,New York,7347.732495,14132.496670,1338.254865
20,Kansas,31,Nebraska,7326.281301,10092.240769,2021.722938
01,Alabama,47,Tennessee,7325.958766,8278.831635,1572.981864
09,Connecticut,25,Massachusetts,7321.023123,14907.352259,803.710145
26,Michigan,55,Wisconsin,7239.024834,7159.021722,2694.234129
13,Georgia,47,Tennessee,7192.038666,19537.621105,1970.156934
01,Alabama,28,Mississippi,7173.939546,5723.002241,1464.656062
28,Mississippi,01,Alabama,7088.318245,7292.678437,1577.929958
48,Texas,13,Georgia,6997.727521,8923.462356,6039.655064
17,Illinois,39,Ohio,6953.164544,20704.202576,2509.264131
47,Tennessee,37,North Carolina,6900.943108,8868.808456,1826.239879
13,Georgia,37,North Carolina,6844.955736,17939.930643,2089.371760
47,Tennessee,01,Alabama,6706.966285,10674.261979,1627.578598
46,South Dakota,31,Nebraska,6698.254351,1842.569638,2098.848981
37,North Carolina,13,Georgia,6666.522923,12992.528448,2118.100183
51,Virginia,42,Pennsylvania,6595.686916,10818.588547,1894.985221
48,Texas,35,New Mexico,6558.373974,10150.491509,2685.821536
39,Ohio,17,Illinois,6426.198509,18632.680140,2408.297909
44,Rhode Island,25,Massachusetts,6257.332158,11613.309059,359.960935
48,Texas,06,California,6088.551487,17448.454917,8299.962354
20,Kansas,40,Oklahoma,6059.113521,5625.189742,1642.946732
28,Mississippi,22,Louisiana,6049.175365,6126.082126,1199.238340
46,South Dakota,38,North Dakota,6024.633628,1776.271241,2045.836299
26,Michigan,17,Illinois,5949.990531,15704.860510,1790.092909
06,California,48,Texas,5828.976840,32158.419305,8473.131579
31,Nebraska,08,Colorado,5824.162548,1921.513752,2533.302296
48,Texas,12,Florida,5720.576272,9956.123452,6518.200345
46,South Dakota,19,Iowa,5641.756506,2923.300778,1990.284892
32,Nevada,06,California,5590.253360,7663.640870,1818.478282
17,Illinois,48,Texas,5526.297791,16120.526804,5599.764120
48,Texas,49,Utah,5424.249461,4727.415497,8119.945479
47,Tennessee,05,Arkansas,5413.616219,7205.807366,1106.323940
25,Massachusetts,09,Connecticut,5261.502064,14062.487708,487.498380
48,Texas,29,Missouri,5254.679775,10110.423146,3838.276784
29,Missouri,05,Arkansas,5153.914893,5666.597381,1335.745832
31,Nebraska,20,Kansas,5080.872576,5841.620802,1311.242160
54,West Virginia,39,Ohio,5062.212161,5460.989904,1083.522971
22,Louisiana,28,Mississippi,5029.060873,4391.764585,1070.698811
42,Pennsylvania,10,Delaware,5016.745649,4140.505591,655.995290
37,North Carolina,47,Tennessee,4975.579132,9366.551213,1763.697640
42,Pennsylvania,51,Virginia,4971.728585,12716.526001,1300.091418
24,Maryland,10,Delaware,4970.045818,2950.559059,485.419012
53,Washington,06,California,4946.524808,10894.007568,4816.394228
30,Montana,16,Idaho,4943.587527,2378.953122,2081.286168
06,California,53,Washington,4939.416602,18372.158573,4422.276722
48,Texas,05,Arkansas,4791.212053,8700.616051,1788.258519
06,California,41,Oregon,4780.477570,17319.665567,3094.899968
19,Iowa,55,Wisconsin,4736.723154,6224.859233,1306.679792
38,North Dakota,46,South Dakota,4655.125811,1948.591610,1481.561338
55,Wisconsin,26,Michigan,4583.437823,7980.719923,1606.830266
51,Virginia,54,West Virginia,4563.027185,3248.752507,852.350060
17,Illinois,27,Minnesota,4517.192684,10671.399833,2108.056626
18,Indiana,55,Wisconsin,4502.657141,6155.363137,1314.327833
12,Florida,01,Alabama,4492.928992,6716.622727,1766.318969
06,California,39,Ohio,4412.329900,26290.761516,10972.569375
27,Minnesota,46,South Dakota,4390.753073,4902.300285,1252.277857
54,West Virginia,42,Pennsylvania,4383.729646,4166.762526,945.067893
42,Pennsylvania,54,West Virginia,4338.564926,5485.560308,839.413440
33,New Hampshire,25,Massachusetts,4335.621763,5932.029127,383.799065
13,Georgia,48,Texas,4139.788235,12298.169710,3774.914535
11,District of Columbia,11,District of Columbia,4120.495761,1967.166074,4.763292
06,California,49,Utah,4089.138594,12727.115390,2826.838947
10,Delaware,24,Maryland,4079.451578,3408.837070,352.660716
36,New York,39,Ohio,4067.894518,10753.009540,1643.195675
17,Illinois,21,Kentucky,4017.586258,8142.163468,1338.829693
08,Colorado,56,Wyoming,3988.485992,3992.007026,952.305752
19,Iowa,29,Missouri,3975.556064,6015.667779,1134.567495
36,New York,25,Massachusetts,3931.388322,12101.029614,909.237168
05,Arkansas,40,Oklahoma,3867.777760,5573.633564,935.407645
16,Idaho,53,Washington,3845.028525,2432.466135,1085.641108
39,Ohio,36,New York,3792.046684,8266.868301,1583.970175
48,Texas,17,Illinois,3755.231521,10721.450283,4134.962256
16,Idaho,30,Montana,3734.355576,1376.416616,1559.549647
05,Arkansas,22,Louisiana,3699.794583,2671.106113,1130.590056
55,Wisconsin,19,Iowa,3689.272248,6072.525142,1039.819446
48,Texas,08,Colorado,3676.503063,7260.947025,3102.228284
27,Minnesota,17,Illinois,3666.349081,8146.371630,1624.314122
20,Kansas,48,Texas,3631.493515,8972.022986,2001.053728
39,Ohio,48,Texas,3619.306179,14815.069728,4374.353143
21,Kentucky,17,Illinois,3614.914850,7205.929648,1206.361336
27,Minnesota,31,Nebraska,3589.423648,3416.093662,1330.224290
36,New York,09,Connecticut,3517.160946,8987.801124,460.673414
17,Illinois,42,Pennsylvania,3496.004853,8551.552746,2373.686390
25,Massachusetts,44,Rhode Island,3480.374682,4706.335213,221.308450
34,New Jersey,24,Maryland,3454.073572,10596.571083,550.969352
19,Iowa,46,South Dakota,3426.390381,2969.429811,984.438544
42,Pennsylvania,18,Indiana,3402.743625,7857.922738,1668.087658
40,Oklahoma,29,Missouri,3343.859331,1991.044920,929.197955
05,Arkansas,47,Tennessee,3338.689619,3552.073669,936.990525
35,New Mexico,48,Texas,3292.703669,4347.966673,1309.537650
39,Ohio,54,West Virginia,3282.435318,5577.989714,727.091609
40,Oklahoma,05,Arkansas,3275.778015,3224.628781,815.994778
47,Tennessee,45,South Carolina,3267.797362,4468.882121,1102.982033
48,Texas,47,Tennessee,3258.418668,9167.256216,2704.252209
39,Ohio,13,Georgia,3251.074187,8018.264557,2032.834122
28,Mississippi,47,Tennessee,3250.421989,7709.011607,685.676760
55,Wisconsin,18,Indiana,3246.126509,6941.184996,1087.380421
48,Texas,39,Ohio,3227.179532,13118.658590,3909.029271
18,Indiana,48,Texas,3186.732540,9825.409135,3348.730045
10,Delaware,42,Pennsylvania,3129.896593,5034.674052,348.863998
29,Missouri,40,Oklahoma,3111.944070,3646.805994,989.461322
39,Ohio,55,Wisconsin,3053.682005,7103.269154,1554.579816
28,Mississippi,48,Texas,3030.099676,5758.499747,1548.505170
17,Illinois,13,Georgia,3010.984909,6928.007168,2129.831204
56,Wyoming,30,Montana,2995.805247,1166.330117,1066.598775
47,Tennessee,48,Texas,2974.786688,12635.007696,2314.870820
37,North Carolina,12,Florida,2960.501730,9606.699552,1766.509929
39,Ohio,47,Tennessee,2954.347127,9200.197855,1340.020011
46,South Dakota,27,Minnesota,2944.211472,2237.703856,825.705836
42,Pennsylvania,17,Illinois,2906.655972,8502.943915,1927.190483
29,Missouri,19,Iowa,2900.235020,5537.162672,874.023847
05,Arkansas,29,Missouri,2875.637386,3936.952037,767.385609
29,Missouri,48,Texas,2861.014722,8687.045882,1810.560547
18,Indiana,47,Tennessee,2822.621369,6090.052320,1001.675019
17,Illinois,06,California,2794.528417,11554.602843,5700.794763
56,Wyoming,08,Colorado,2786.899705,2999.046611,689.146970
42,Pennsylvania,13,Georgia,2779.971040,6015.932899,2056.073558
37,North Carolina,42,Pennsylvania,2736.254065,10145.429629,1306.327071
50,Vermont,33,New Hampshire,2723.441374,1378.679670,339.698930
01,Alabama,48,Texas,2721.472507,7319.335465,1940.254247
20,Kansas,17,Illinois,2687.478962,6484.571226,1346.457454
49,Utah,16,Idaho,2682.082271,4022.998115,702.220819
28,Mississippi,05,Arkansas,2678.593045,3320.746237,692.547017
47,Tennessee,18,Indiana,2628.002331,6530.817683,913.907617
53,Washington,16,Idaho,2625.780476,4824.291392,841.206909
23,Maine,33,New Hampshire,2620.297428,2411.066173,369.575529
26,Michigan,42,Pennsylvania,2615.339176,7191.613438,1255.161131
39,Ohio,06,California,2575.265125,10443.358562,5991.382396
25,Massachusetts,39,Ohio,2561.326682,2645.365138,1914.481433
48,Texas,42,Pennsylvania,2559.664215,5741.706792,3886.081965
49,Utah,06,California,2480.689226,7396.341986,1609.716655
55,Wisconsin,39,Ohio,2474.844957,6196.484518,1267.361385
51,Virginia,39,Ohio,2456.785632,6334.854846,1041.032627
42,Pennsylvania,09,Connecticut,2450.373230,6001.599208,610.590685
42,Pennsylvania,25,Massachusetts,2440.230658,6913.416315,938.433577
34,New Jersey,09,Connecticut,2401.295789,7865.015625,312.918507
10,Delaware,34,New Jersey,2392.017785,3460.123091,257.782924
18,Indiana,42,Pennsylvania,2386.172206,5911.076167,1173.730420
08,Colorado,06,California,2369.690473,5382.044813,2519.900776
20,Kansas,08,Colorado,2363.740332,3293.381226,1013.571678
17,Illinois,47,Tennessee,2347.301291,7372.503889,1083.454988
19,Iowa,20,Kansas,2323.365524,3570.034195,825.155269
21,Kentucky,37,North Carolina,2322.774370,3328.327785,1026.022923
39,Ohio,37,North Carolina,2310.087477,6450.437736,1147.529095
25,Massachusetts,23,Maine,2300.631442,4089.879893,544.227659
45,South Carolina,47,Tennessee,2278.066188,5209.266218,834.916853
42,Pennsylvania,26,Michigan,2272.068157,6710.772140,1079.789329
33,New Hampshire,23,Maine,2251.782663,2250.724201,361.514075
42,Pennsylvania,37,North Carolina,2251.683431,9776.780997,1078.023922
21,Kentucky,51,Virginia,2221.271377,1913.028829,653.169463
26,Michigan,48,Texas,2217.965568,12584.422702,2931.862225
47,Tennessee,39,Ohio,2212.001729,7868.440460,1033.709346
37,North Carolina,48,Texas,2210.589278,11143.800991,2658.619484
37,North Carolina,39,Ohio,2193.673092,15443.973813,1084.373903
36,New York,17,Illinois,2186.146048,8262.315052,1616.233758
47,Tennessee,17,Illinois,2185.780630,7421.240502,1016.867298
12,Florida,45,South Carolina,2185.633510,4614.939324,881.867793
16,Idaho,49,Utah,2167.840521,2641.507629,600.341199
08,Colorado,48,Texas,2167.584019,5157.803914,1826.474946
13,Georgia,17,Illinois,2159.083393,6153.272510,1631.911935
48,Texas,28,Mississippi,2142.395578,6462.683046,1086.665971
09,Connecticut,34,New Jersey,2133.034492,6644.997079,281.088560
17,Illinois,12,Florida,2127.980168,7450.531886,2437.999627
24,Maryland,34,New Jersey,2127.403300,5234.264973,347.006154
18,Indiana,27,Minnesota,2122.294656,2914.598540,1357.404809
21,Kentucky,54,West Virginia,2081.261779,2020.700318,613.404472
13,Georgia,39,Ohio,2064.114255,5172.940474,1253.382363
04,Arizona,32,Nevada,2059.853276,3328.516694,730.273499
21,Kentucky,48,Texas,2058.981661,7572.024459,1909.604080
42,Pennsylvania,12,Florida,2048.571560,7140.135871,2184.654764
45,South Carolina,12,Florida,2046.356947,5506.810250,941.700836
48,Texas,20,Kansas,2045.611465,5809.160340,1081.361476
29,Missouri,18,Indiana,2043.384294,4739.198670,778.076434
23,Maine,25,Massachusetts,2040.165461,2894.859002,376.762955
31,Nebraska,46,South Dakota,2033.683112,2305.288090,566.057582
39,Ohio,19,Iowa,2030.374000,2436.307629,1154.283734
05,Arkansas,13,Georgia,2021.800806,2125.293808,1277.213420
06,California,17,Illinois,2018.577357,12019.562249,4114.333986
08,Colorado,31,Nebraska,2005.962388,3600.566172,815.330454
12,Florida,48,Texas,1997.275659,7122.247079,2105.329241
29,Missouri,31,Nebraska,1971.247090,3487.432056,579.016193
21,Kentucky,13,Georgia,1970.663041,4271.854576,791.692346
39,Ohio,29,Missouri,1969.938456,5581.635683,1175.912364
22,Louisiana,01,Alabama,1960.596968,2109.009510,636.112392
24,Maryland,11,District of Columbia,1949.604103,4380.761135,70.804943
08,Colorado,49,Utah,1947.029652,4363.097505,956.088957
47,Tennessee,29,Missouri,1939.210099,5731.882057,669.147855
18,Indiana,29,Missouri,1922.588973,5777.788973,757.151454
26,Michigan,21,Kentucky,1918.202629,8410.216141,773.713237
23,Maine,36,New York,1908.149259,919.804320,716.135922
06,California,08,Colorado,1901.791523,7834.279279,2003.693740
09,Connecticut,42,Pennsylvania,1896.784079,4022.349632,471.462309
55,Wisconsin,48,Texas,1894.390657,7913.341206,2226.201333
41,Oregon,16,Idaho,1887.521784,2881.040828,699.577063
47,Tennessee,51,Virginia,1871.746403,5415.833271,736.203724
47,Tennessee,12,Florida,1867.191304,9740.707139,1250.825371
21,Kentucky,42,Pennsylvania,1859.285731,4196.659962,959.491820
01,Alabama,39,Ohio,1837.971488,3252.929915,1167.202285
04,Arizona,48,Texas,1828.741808,7085.671871,1444.297834
34,New Jersey,25,Massachusetts,1824.184227,7971.705116,467.566889
56,Wyoming,49,Utah,1806.842141,674.473461,588.303255
51,Virginia,36,New York,1793.764329,5230.689372,802.722816
18,Indiana,19,Iowa,1793.626089,3401.595895,699.426135
42,Pennsylvania,48,Texas,1793.252091,8383.239956,2718.627197
01,Alabama,22,Louisiana,1760.216075,2160.935267,565.802089
54,West Virginia,24,Maryland,1753.884902,1143.762327,396.745846
13,Georgia,28,Mississippi,1741.261933,3747.277426,682.361622
49,Utah,32,Nevada,1737.180454,2437.983454,694.245548
51,Virginia,13,Georgia,1734.716291,4663.578429,831.438767
51,Virginia,34,New Jersey,1730.441183,3905.645171,588.273204
29,Missouri,47,Tennessee,1729.451452,3961.046294,626.782069
05,Arkansas,28,Mississippi,1720.890501,2436.637755,449.346089
39,Ohio,51,Virginia,1715.696502,5344.584005,751.875978
34,New Jersey,10,Delaware,1709.093892,3071.835578,142.942603
06,California,12,Florida,1704.883710,15732.816987,4467.815988
22,Louisiana,13,Georgia,1691.525423,2194.788045,976.823606
30,Montana,56,Wyoming,1680.106599,612.578147,436.207581
51,Virginia,12,Florida,1679.524432,3834.369774,1256.134692
49,Utah,08,Colorado,1675.948482,4238.134404,738.132591
04,Arizona,35,New Mexico,1661.174613,2899.877751,634.176673
17,Illinois,20,Kansas,1656.744224,4474.379109,837.330129
48,Texas,36,New York,1653.450643,3975.641908,2705.210933
39,Ohio,34,New Jersey,1653.342743,5599.849222,888.747312
48,Texas,04,Arizona,1640.826329,4640.570813,1547.677885
21,Kentucky,01,Alabama,1639.546434,2972.652062,595.653982
12,Florida,37,North Carolina,1634.325635,5501.752739,914.973170
48,Texas,01,Alabama,1624.622232,4169.837021,1082.074444
29,Missouri,06,California,1621.117910,5873.240700,2878.165515
55,Wisconsin,06,California,1615.264273,6320.285289,3348.356299
06,California,34,New Jersey,1614.954057,11533.604082,4658.432318
36,New York,48,Texas,1607.172864,8783.592893,2658.515791
55,Wisconsin,42,Pennsylvania,1604.267705,7081.116299,1364.990925
20,Kansas,19,Iowa,1571.272924,2768.722297,522.948274
12,Florida,42,Pennsylvania,1565.956482,3002.950186,1648.905326
54,West Virginia,51,Virginia,1563.361537,1723.020934,327.015204
45,South Carolina,51,Virginia,1551.097330,3603.466994,526.818610
48,Texas,26,Michigan,1544.997869,5178.834910,2026.061055
18,Indiana,36,New York,1535.920257,5132.608950,950.844015
45,South Carolina,01,Alabama,1535.912827,3647.574951,604.242384
01,Alabama,37,North Carolina,1534.877864,2959.791970,713.383572
23,Maine,34,New Jersey,1531.923011,815.421230,644.161803
05,Arkansas,18,Indiana,1522.819357,2567.419408,864.998323
13,Georgia,21,Kentucky,1514.061636,3616.390401,599.628502
47,Tennessee,06,California,1507.334881,6159.876479,3059.404762
39,Ohio,12,Florida,1503.244660,5639.262970,1546.049585
13,Georgia,42,Pennsylvania,1501.635305,4705.339805,1148.619161
08,Colorado,35,New Mexico,1499.555383,2267.478131,636.029208
13,Georgia,51,Virginia,1495.800675,3763.903954,752.762357
06,California,42,Pennsylvania,1487.838303,10829.058522,4010.948161
34,New Jersey,39,Ohio,1484.961116,11921.318972,795.851143
13,Georgia,06,California,1482.317375,6784.186891,3414.074812
18,Indiana,13,Georgia,1478.210397,5213.741164,836.211568
06,California,36,New York,1477.117616,10194.810886,4166.296078
47,Tennessee,42,Pennsylvania,1476.953556,5544.462472,987.476813
21,Kentucky,26,Michigan,1476.534654,5657.856006,598.006470
26,Michigan,47,Tennessee,1474.237416,7512.492012,881.973947
36,New York,50,Vermont,1469.017866,3413.551120,244.236827
17,Illinois,36,New York,1467.283954,6432.295172,1163.666510
36,New York,06,California,1462.968907,9590.757702,4127.905644
37,North Carolina,17,Illinois,1460.689150,8688.261618,1162.578395
06,California,13,Georgia,1459.464969,9251.382974,3365.749570
25,Massachusetts,50,Vermont,1456.297758,1658.613646,238.741944
24,Maryland,36,New York,1451.708273,5781.095380,404.375090
17,Illinois,31,Nebraska,1448.748174,3966.053089,738.596749
18,Indiana,37,North Carolina,1420.007948,3955.221228,864.632682
29,Missouri,21,Kentucky,1419.948271,3046.682829,476.062546
19,Iowa,39,Ohio,1419.726798,3803.902361,856.897068
51,Virginia,47,Tennessee,1387.513763,2443.788479,519.286531
36,New York,26,Michigan,1381.879035,5602.237049,757.051870
12,Florida,17,Illinois,1371.458553,3243.970810,1539.293344
48,Texas,55,Wisconsin,1366.618446,3552.728600,1650.855621
01,Alabama,45,South Carolina,1365.958829,2421.011911,536.670381
42,Pennsylvania,06,California,1364.692967,9224.863579,3665.272849
19,Iowa,18,Indiana,1363.370250,3039.523068,598.688509
34,New Jersey,51,Virginia,1359.554847,5755.383783,385.631841
01,Alabama,21,Kentucky,1352.755599,2128.034303,476.971415
18,Indiana,12,Florida,1351.349297,6804.503287,1342.222555
08,Colorado,30,Montana,1339.225917,1491.745396,867.169523
25,Massachusetts,42,Pennsylvania,1332.556310,3609.070383,468.662616
34,New Jersey,48,Texas,1330.330824,7167.963778,2240.569622
34,New Jersey,17,Illinois,1322.584989,6117.318650,1172.244503
29,Missouri,42,Pennsylvania,1320.680756,9170.067755,1264.559005
17,Illinois,01,Alabama,1319.323847,2997.081204,905.584329
22,Louisiana,05,Arkansas,1318.018131,1467.242180,417.990556
23,Maine,42,Pennsylvania,1317.932313,1074.233341,676.134179
55,Wisconsin,29,Missouri,1316.949452,4359.086022,646.741434
11,District of Columbia,51,Virginia,1304.558915,459.429355,192.991712
28,Mississippi,13,Georgia,1292.072958,3111.411621,523.178556
16,Idaho,41,Oregon,1290.794074,1633.308072,529.137060
30,Montana,38,North Dakota,1288.532268,182.253283,404.759222
55,Wisconsin,13,Georgia,1284.872449,3915.073338,1193.788348
45,South Carolina,48,Texas,1282.074574,6148.368524,1416.203878
21,Kentucky,29,Missouri,1281.134311,5952.140342,496.046161
33,New Hampshire,50,Vermont,1273.178439,1032.958361,148.767375
31,Nebraska,29,Missouri,1272.153632,2267.648845,381.544408
49,Utah,04,Arizona,1263.719102,2328.335472,721.164817
51,Virginia,45,South Carolina,1255.384911,3621.425372,407.425258
42,Pennsylvania,47,Tennessee,1251.654241,3413.022953,837.054358
17,Illinois,37,North Carolina,1242.792375,5161.679674,989.345797
29,Missouri,55,Wisconsin,1233.154798,3406.404330,609.895639
17,Illinois,05,Arkansas,1232.382475,2567.884848,626.363048
48,Texas,31,Nebraska,1231.297534,1806.399672,909.252354
18,Indiana,01,Alabama,1227.250286,2319.758971,667.067321
37,North Carolina,24,Maryland,1224.086385,3335.413124,437.617070
34,New Jersey,12,Florida,1222.626360,7302.874397,1420.452749
47,Tennessee,26,Michigan,1217.700310,5696.454896,765.944770
37,North Carolina,21,Kentucky,1216.040905,3752.885239,498.188684
37,North Carolina,06,California,1215.980002,9700.722071,3143.269109
19,Iowa,48,Texas,1210.108962,5857.065103,1104.585410
45,South Carolina,39,Ohio,1205.892502,3282.176016,687.319174
25,Massachusetts,18,Indiana,1197.374532,2160.749681,1127.122517
