scenario,policy,load_id,hour,origin,destination_city,destination_state,availability,available_at_origin,price,direct_cost,margin,future_delta,policy_score,wants_accept,outcome
base_public_calibrated,always_reject,14,0,Texas,Philadelphia,Pennsylvania,Slight Shortage,200,7206.21,4576.87,2629.34,0.00,0.00,False,reject
base_public_calibrated,always_reject,15,0,Texas,Dallas,Texas,Slight Shortage,200,2465.92,549.64,1916.28,0.00,0.00,False,reject
base_public_calibrated,always_reject,16,0,Texas,Dallas,Texas,Slight Shortage,200,2671.52,549.64,2121.88,0.00,0.00,False,reject
base_public_calibrated,always_reject,17,0,Georgia,Atlanta,Georgia,Adequate,38,3264.83,500.71,2764.12,0.00,0.00,False,reject
base_public_calibrated,always_reject,18,0,Texas,Dallas,Texas,Slight Shortage,200,3049.37,549.64,2499.74,0.00,0.00,False,reject
base_public_calibrated,always_reject,19,0,Georgia,Atlanta,Georgia,Adequate,38,3569.96,500.71,3069.25,0.00,0.00,False,reject
base_public_calibrated,always_reject,20,1,Texas,Dallas,Texas,Slight Shortage,200,2566.33,549.64,2016.69,0.00,0.00,False,reject
base_public_calibrated,always_reject,21,1,Texas,Dallas,Texas,Slight Shortage,200,2605.02,549.64,2055.38,0.00,0.00,False,reject
base_public_calibrated,always_reject,22,1,Texas,Dallas,Texas,Slight Shortage,200,2579.38,549.64,2029.75,0.00,0.00,False,reject
base_public_calibrated,always_reject,23,1,Texas,Dallas,Texas,Slight Shortage,200,2429.26,549.64,1879.62,0.00,0.00,False,reject
base_public_calibrated,always_reject,24,1,Texas,Dallas,Texas,Slight Shortage,200,2326.10,549.64,1776.47,0.00,0.00,False,reject
base_public_calibrated,always_reject,25,1,Texas,Dallas,Texas,Slight Shortage,200,2780.53,549.64,2230.89,0.00,0.00,False,reject
base_public_calibrated,always_reject,26,1,California,Philadelphia,Pennsylvania,Slight Shortage,10,9959.41,7933.09,2026.31,0.00,0.00,False,reject
base_public_calibrated,always_reject,27,1,Texas,Dallas,Texas,Slight Shortage,200,2503.51,549.64,1953.87,0.00,0.00,False,reject
base_public_calibrated,always_reject,28,1,Georgia,Atlanta,Georgia,Adequate,38,3560.36,500.71,3059.64,0.00,0.00,False,reject
base_public_calibrated,always_reject,29,1,California,Seattle,Washington,Adequate,10,4351.63,2801.61,1550.01,0.00,0.00,False,reject
base_public_calibrated,always_reject,30,1,Georgia,Atlanta,Georgia,Adequate,38,3787.27,500.71,3286.56,0.00,0.00,False,reject
base_public_calibrated,always_reject,31,1,Georgia,Atlanta,Georgia,Adequate,38,3400.27,500.71,2899.55,0.00,0.00,False,reject
base_public_calibrated,always_reject,32,1,Texas,Dallas,Texas,Slight Shortage,200,2472.99,549.64,1923.35,0.00,0.00,False,reject
base_public_calibrated,always_reject,33,2,Georgia,Atlanta,Georgia,Adequate,38,3534.59,500.71,3033.88,0.00,0.00,False,reject
base_public_calibrated,always_reject,34,2,Georgia,Atlanta,Georgia,Adequate,38,3303.21,500.71,2802.50,0.00,0.00,False,reject
base_public_calibrated,always_reject,35,2,Texas,Dallas,Texas,Slight Shortage,200,2341.45,549.64,1791.81,0.00,0.00,False,reject
base_public_calibrated,always_reject,36,2,Texas,Dallas,Texas,Slight Shortage,200,2608.21,549.64,2058.57,0.00,0.00,False,reject
base_public_calibrated,always_reject,37,2,Texas,Dallas,Texas,Slight Shortage,200,2599.76,549.64,2050.12,0.00,0.00,False,reject
base_public_calibrated,always_reject,38,2,Texas,Dallas,Texas,Slight Shortage,200,2667.82,549.64,2118.19,0.00,0.00,False,reject
base_public_calibrated,always_reject,39,2,Texas,Dallas,Texas,Slight Shortage,200,3176.66,549.64,2627.03,0.00,0.00,False,reject
base_public_calibrated,always_reject,40,2,Texas,Dallas,Texas,Slight Shortage,200,2741.68,549.64,2192.04,0.00,0.00,False,reject
base_public_calibrated,always_reject,41,2,Texas,Dallas,Texas,Slight Shortage,200,2537.78,549.64,1988.14,0.00,0.00,False,reject
base_public_calibrated,always_reject,42,2,Texas,Dallas,Texas,Slight Shortage,200,2773.13,549.64,2223.49,0.00,0.00,False,reject
base_public_calibrated,always_reject,43,2,Texas,Dallas,Texas,Slight Shortage,200,2872.94,549.64,2323.30,0.00,0.00,False,reject
base_public_calibrated,always_reject,44,2,Georgia,Atlanta,Georgia,Adequate,38,3362.05,500.71,2861.33,0.00,0.00,False,reject
base_public_calibrated,always_reject,45,2,Georgia,Atlanta,Georgia,Adequate,38,3790.69,500.71,3289.98,0.00,0.00,False,reject
base_public_calibrated,always_reject,46,2,Texas,Dallas,Texas,Slight Shortage,200,2546.84,549.64,1997.21,0.00,0.00,False,reject
base_public_calibrated,always_reject,47,2,Georgia,Atlanta,Georgia,Adequate,38,3903.22,500.71,3402.50,0.00,0.00,False,reject
base_public_calibrated,always_reject,48,2,Texas,Dallas,Texas,Slight Shortage,200,2217.00,549.64,1667.37,0.00,0.00,False,reject
base_public_calibrated,always_reject,49,2,Texas,Dallas,Texas,Slight Shortage,200,2622.33,549.64,2072.69,0.00,0.00,False,reject
base_public_calibrated,always_reject,50,2,Texas,Dallas,Texas,Slight Shortage,200,2798.72,549.64,2249.09,0.00,0.00,False,reject
base_public_calibrated,always_reject,51,2,Texas,Dallas,Texas,Slight Shortage,200,2646.74,549.64,2097.10,0.00,0.00,False,reject
base_public_calibrated,always_reject,52,3,Texas,Miami,Florida,Slight Shortage,200,5382.29,3497.38,1884.92,0.00,0.00,False,reject
base_public_calibrated,always_reject,53,3,Texas,Dallas,Texas,Slight Shortage,200,2627.09,549.64,2077.46,0.00,0.00,False,reject
base_public_calibrated,always_reject,54,3,California,Seattle,Washington,Adequate,10,4028.85,2801.61,1227.23,0.00,0.00,False,reject
base_public_calibrated,always_reject,55,3,Texas,Dallas,Texas,Slight Shortage,200,2872.69,549.64,2323.05,0.00,0.00,False,reject
base_public_calibrated,always_reject,56,3,Georgia,Atlanta,Georgia,Adequate,38,4089.67,500.71,3588.96,0.00,0.00,False,reject
base_public_calibrated,always_reject,57,3,Georgia,Atlanta,Georgia,Adequate,38,3523.83,500.71,3023.12,0.00,0.00,False,reject
base_public_calibrated,always_reject,58,3,Texas,Dallas,Texas,Slight Shortage,200,2567.71,549.64,2018.08,0.00,0.00,False,reject
base_public_calibrated,always_reject,59,3,Georgia,Miami,Florida,Adequate,38,3619.16,1099.75,2519.41,0.00,0.00,False,reject
base_public_calibrated,always_reject,60,3,Georgia,Atlanta,Georgia,Adequate,38,3667.82,500.71,3167.11,0.00,0.00,False,reject
base_public_calibrated,always_reject,61,3,Georgia,Atlanta,Georgia,Adequate,38,3624.53,500.71,3123.81,0.00,0.00,False,reject
base_public_calibrated,always_reject,62,3,Texas,Dallas,Texas,Slight Shortage,200,2639.40,549.64,2089.76,0.00,0.00,False,reject
base_public_calibrated,always_reject,63,3,Texas,Dallas,Texas,Slight Shortage,200,2669.89,549.64,2120.26,0.00,0.00,False,reject
base_public_calibrated,always_reject,64,3,Texas,Dallas,Texas,Slight Shortage,200,2661.45,549.64,2111.81,0.00,0.00,False,reject
base_public_calibrated,always_reject,65,3,Georgia,Atlanta,Georgia,Adequate,38,3638.34,500.71,3137.63,0.00,0.00,False,reject
base_public_calibrated,always_reject,66,3,Texas,Dallas,Texas,Slight Shortage,200,2433.35,549.64,1883.71,0.00,0.00,False,reject
base_public_calibrated,always_reject,67,3,Texas,Dallas,Texas,Slight Shortage,200,2501.55,549.64,1951.91,0.00,0.00,False,reject
base_public_calibrated,always_reject,68,3,Texas,Dallas,Texas,Slight Shortage,200,2273.79,549.64,1724.16,0.00,0.00,False,reject
base_public_calibrated,always_reject,69,3,Texas,Dallas,Texas,Slight Shortage,200,2458.51,549.64,1908.88,0.00,0.00,False,reject
base_public_calibrated,always_reject,70,3,Texas,Dallas,Texas,Slight Shortage,200,3259.15,549.64,2709.51,0.00,0.00,False,reject
base_public_calibrated,always_reject,71,3,Georgia,Atlanta,Georgia,Adequate,38,3699.60,500.71,3198.89,0.00,0.00,False,reject
base_public_calibrated,always_reject,72,3,Texas,Dallas,Texas,Slight Shortage,200,2512.28,549.64,1962.64,0.00,0.00,False,reject
base_public_calibrated,always_reject,73,3,Georgia,Atlanta,Georgia,Adequate,38,3231.44,500.71,2730.73,0.00,0.00,False,reject
base_public_calibrated,always_reject,74,3,California,New York,New York,Slight Shortage,10,10063.36,8288.59,1774.77,0.00,0.00,False,reject
base_public_calibrated,always_reject,75,3,Georgia,Atlanta,Georgia,Adequate,38,3468.46,500.71,2967.74,0.00,0.00,False,reject
base_public_calibrated,always_reject,76,3,Texas,Dallas,Texas,Slight Shortage,200,2813.84,549.64,2264.21,0.00,0.00,False,reject
base_public_calibrated,always_reject,77,3,Texas,Dallas,Texas,Slight Shortage,200,2730.96,549.64,2181.32,0.00,0.00,False,reject
base_public_calibrated,always_reject,78,4,Georgia,Atlanta,Georgia,Adequate,38,3081.77,500.71,2581.06,0.00,0.00,False,reject
base_public_calibrated,always_reject,79,4,Texas,Dallas,Texas,Slight Shortage,200,2769.29,549.64,2219.65,0.00,0.00,False,reject
base_public_calibrated,always_reject,80,4,Texas,Dallas,Texas,Slight Shortage,200,3133.21,549.64,2583.58,0.00,0.00,False,reject
base_public_calibrated,always_reject,81,4,Texas,Dallas,Texas,Slight Shortage,200,2284.16,549.64,1734.53,0.00,0.00,False,reject
base_public_calibrated,always_reject,82,4,Texas,Dallas,Texas,Slight Shortage,200,2799.55,549.64,2249.92,0.00,0.00,False,reject
base_public_calibrated,always_reject,83,4,Texas,Dallas,Texas,Slight Shortage,200,2633.77,549.64,2084.13,0.00,0.00,False,reject
base_public_calibrated,always_reject,84,4,Texas,Dallas,Texas,Slight Shortage,200,2025.29,549.64,1475.65,0.00,0.00,False,reject
base_public_calibrated,always_reject,85,4,Texas,Dallas,Texas,Slight Shortage,200,2549.31,549.64,1999.68,0.00,0.00,False,reject
base_public_calibrated,always_reject,86,4,Texas,Dallas,Texas,Slight Shortage,200,2415.58,549.64,1865.95,0.00,0.00,False,reject
base_public_calibrated,always_reject,87,4,Texas,Dallas,Texas,Slight Shortage,200,2460.86,549.64,1911.22,0.00,0.00,False,reject
base_public_calibrated,always_reject,88,4,Texas,Dallas,Texas,Slight Shortage,200,2368.37,549.64,1818.73,0.00,0.00,False,reject
base_public_calibrated,always_reject,89,4,Texas,Dallas,Texas,Slight Shortage,200,2460.50,549.64,1910.86,0.00,0.00,False,reject
base_public_calibrated,always_reject,90,4,Texas,Dallas,Texas,Slight Shortage,200,2418.32,549.64,1868.69,0.00,0.00,False,reject
base_public_calibrated,always_reject,91,4,Georgia,Atlanta,Georgia,Adequate,38,3172.05,500.71,2671.33,0.00,0.00,False,reject
base_public_calibrated,always_reject,92,4,Texas,Dallas,Texas,Slight Shortage,200,2355.39,549.64,1805.76,0.00,0.00,False,reject
base_public_calibrated,always_reject,93,4,Georgia,Atlanta,Georgia,Adequate,38,3768.88,500.71,3268.17,0.00,0.00,False,reject
base_public_calibrated,always_reject,94,4,Texas,Dallas,Texas,Slight Shortage,200,2588.98,549.64,2039.35,0.00,0.00,False,reject
base_public_calibrated,always_reject,95,4,Texas,Dallas,Texas,Slight Shortage,200,2486.74,549.64,1937.11,0.00,0.00,False,reject
base_public_calibrated,always_reject,96,4,Texas,Dallas,Texas,Slight Shortage,200,2914.85,549.64,2365.21,0.00,0.00,False,reject
base_public_calibrated,always_reject,97,4,Texas,Dallas,Texas,Slight Shortage,200,2483.22,549.64,1933.58,0.00,0.00,False,reject
base_public_calibrated,always_reject,98,4,Texas,Dallas,Texas,Slight Shortage,200,2495.82,549.64,1946.19,0.00,0.00,False,reject
base_public_calibrated,always_reject,99,5,Texas,Dallas,Texas,Slight Shortage,200,2510.10,549.64,1960.47,0.00,0.00,False,reject
base_public_calibrated,always_reject,100,5,Texas,Dallas,Texas,Slight Shortage,200,2732.97,549.64,2183.33,0.00,0.00,False,reject
base_public_calibrated,always_reject,101,5,Texas,Dallas,Texas,Slight Shortage,200,2670.40,549.64,2120.76,0.00,0.00,False,reject
base_public_calibrated,always_reject,102,5,Texas,Dallas,Texas,Slight Shortage,200,2603.65,549.64,2054.01,0.00,0.00,False,reject
base_public_calibrated,always_reject,103,5,Texas,Dallas,Texas,Slight Shortage,200,2885.21,549.64,2335.57,0.00,0.00,False,reject
base_public_calibrated,always_reject,104,5,Texas,Dallas,Texas,Slight Shortage,200,2537.06,549.64,1987.43,0.00,0.00,False,reject
base_public_calibrated,always_reject,105,5,Texas,Dallas,Texas,Slight Shortage,200,2533.24,549.64,1983.60,0.00,0.00,False,reject
base_public_calibrated,always_reject,106,5,Texas,Dallas,Texas,Slight Shortage,200,2705.31,549.64,2155.68,0.00,0.00,False,reject
base_public_calibrated,always_reject,107,5,Georgia,Atlanta,Georgia,Adequate,38,3224.68,500.71,2723.96,0.00,0.00,False,reject
base_public_calibrated,always_reject,108,5,Texas,Dallas,Texas,Slight Shortage,200,2468.48,549.64,1918.84,0.00,0.00,False,reject
base_public_calibrated,always_reject,109,5,Texas,Dallas,Texas,Slight Shortage,200,2541.34,549.64,1991.70,0.00,0.00,False,reject
base_public_calibrated,always_reject,110,5,Texas,Dallas,Texas,Slight Shortage,200,2940.02,549.64,2390.39,0.00,0.00,False,reject
base_public_calibrated,always_reject,111,5,Texas,Dallas,Texas,Slight Shortage,200,2792.54,549.64,2242.91,0.00,0.00,False,reject
base_public_calibrated,always_reject,112,5,Texas,Dallas,Texas,Slight Shortage,200,2412.80,549.64,1863.17,0.00,0.00,False,reject
base_public_calibrated,always_reject,113,5,Texas,Dallas,Texas,Slight Shortage,200,2335.13,549.64,1785.49,0.00,0.00,False,reject
base_public_calibrated,always_reject,114,6,Texas,Dallas,Texas,Slight Shortage,200,2990.11,549.64,2440.47,0.00,0.00,False,reject
base_public_calibrated,always_reject,115,6,Texas,Dallas,Texas,Slight Shortage,200,2546.46,549.64,1996.83,0.00,0.00,False,reject
base_public_calibrated,always_reject,116,6,Texas,Dallas,Texas,Slight Shortage,200,2884.54,549.64,2334.91,0.00,0.00,False,reject
base_public_calibrated,always_reject,117,6,Texas,Dallas,Texas,Slight Shortage,200,2940.42,549.64,2390.78,0.00,0.00,False,reject
base_public_calibrated,always_reject,118,6,Texas,Dallas,Texas,Slight Shortage,200,2348.05,549.64,1798.41,0.00,0.00,False,reject
base_public_calibrated,always_reject,119,6,Texas,Dallas,Texas,Slight Shortage,200,2788.87,549.64,2239.23,0.00,0.00,False,reject
base_public_calibrated,always_reject,120,6,Texas,Dallas,Texas,Slight Shortage,200,2502.94,549.64,1953.31,0.00,0.00,False,reject
base_public_calibrated,always_reject,121,6,Georgia,Atlanta,Georgia,Adequate,38,3807.51,500.71,3306.79,0.00,0.00,False,reject
base_public_calibrated,always_reject,122,6,Georgia,Atlanta,Georgia,Adequate,38,3702.67,500.71,3201.96,0.00,0.00,False,reject
base_public_calibrated,always_reject,123,6,Texas,Dallas,Texas,Slight Shortage,200,3000.07,549.64,2450.44,0.00,0.00,False,reject
base_public_calibrated,always_reject,124,6,Georgia,Philadelphia,Pennsylvania,Adequate,38,2498.12,2430.00,68.12,0.00,0.00,False,reject
base_public_calibrated,always_reject,125,6,Texas,Dallas,Texas,Slight Shortage,200,3089.03,549.64,2539.39,0.00,0.00,False,reject
base_public_calibrated,always_reject,126,6,Texas,Dallas,Texas,Slight Shortage,200,2632.07,549.64,2082.43,0.00,0.00,False,reject
base_public_calibrated,always_reject,127,6,Texas,Dallas,Texas,Slight Shortage,200,2795.02,549.64,2245.39,0.00,0.00,False,reject
base_public_calibrated,always_reject,128,6,Texas,Dallas,Texas,Slight Shortage,200,2917.41,549.64,2367.78,0.00,0.00,False,reject
base_public_calibrated,always_reject,129,6,Texas,Dallas,Texas,Slight Shortage,200,2331.73,549.64,1782.09,0.00,0.00,False,reject
base_public_calibrated,always_reject,130,6,Georgia,Atlanta,Georgia,Adequate,38,3085.07,500.71,2584.36,0.00,0.00,False,reject
base_public_calibrated,always_reject,131,6,Texas,Dallas,Texas,Slight Shortage,200,3094.66,549.64,2545.02,0.00,0.00,False,reject
base_public_calibrated,always_reject,132,6,Texas,Dallas,Texas,Slight Shortage,200,2735.62,549.64,2185.99,0.00,0.00,False,reject
base_public_calibrated,always_reject,133,7,Texas,Dallas,Texas,Slight Shortage,200,2444.84,549.64,1895.20,0.00,0.00,False,reject
base_public_calibrated,always_reject,134,7,Arizona,Los Angeles,California,Slight Surplus,1,1866.24,1505.97,360.27,0.00,0.00,False,reject
base_public_calibrated,always_reject,135,7,Texas,Dallas,Texas,Slight Shortage,200,2284.84,549.64,1735.21,0.00,0.00,False,reject
base_public_calibrated,always_reject,136,7,Texas,Dallas,Texas,Slight Shortage,200,2670.95,549.64,2121.32,0.00,0.00,False,reject
base_public_calibrated,always_reject,137,7,Georgia,Atlanta,Georgia,Adequate,38,3440.96,500.71,2940.25,0.00,0.00,False,reject
base_public_calibrated,always_reject,138,7,Texas,Dallas,Texas,Slight Shortage,200,2017.12,549.64,1467.49,0.00,0.00,False,reject
base_public_calibrated,always_reject,139,7,Colorado,Philadelphia,Pennsylvania,Shortage,0,4682.18,4917.43,-235.25,0.00,0.00,False,reject
base_public_calibrated,always_reject,140,7,Texas,Dallas,Texas,Slight Shortage,200,2868.40,549.64,2318.77,0.00,0.00,False,reject
base_public_calibrated,always_reject,141,7,California,Dallas,Texas,Adequate,10,2086.46,4392.82,-2306.37,0.00,0.00,False,reject
base_public_calibrated,always_reject,142,7,Texas,Dallas,Texas,Slight Shortage,200,2272.01,549.64,1722.37,0.00,0.00,False,reject
base_public_calibrated,always_reject,143,7,Texas,Dallas,Texas,Slight Shortage,200,3275.32,549.64,2725.68,0.00,0.00,False,reject
base_public_calibrated,always_reject,144,7,Texas,Baltimore,Maryland,Slight Shortage,200,7728.36,4498.76,3229.61,0.00,0.00,False,reject
base_public_calibrated,always_reject,145,7,Georgia,Atlanta,Georgia,Adequate,38,3552.88,500.71,3052.17,0.00,0.00,False,reject
base_public_calibrated,always_reject,146,7,Texas,Dallas,Texas,Slight Shortage,200,2832.90,549.64,2283.27,0.00,0.00,False,reject
base_public_calibrated,always_reject,147,7,Texas,Dallas,Texas,Slight Shortage,200,3102.34,549.64,2552.70,0.00,0.00,False,reject
base_public_calibrated,always_reject,148,7,Georgia,Atlanta,Georgia,Adequate,38,3324.46,500.71,2823.74,0.00,0.00,False,reject
base_public_calibrated,always_reject,149,7,Texas,Dallas,Texas,Slight Shortage,200,2536.02,549.64,1986.38,0.00,0.00,False,reject
base_public_calibrated,always_reject,150,7,Texas,Dallas,Texas,Slight Shortage,200,2675.33,549.64,2125.69,0.00,0.00,False,reject
base_public_calibrated,always_reject,151,7,Texas,Los Angeles,California,Slight Shortage,200,5420.95,4135.14,1285.81,0.00,0.00,False,reject
base_public_calibrated,always_reject,152,7,Texas,Dallas,Texas,Slight Shortage,200,2655.42,549.64,2105.78,0.00,0.00,False,reject
base_public_calibrated,always_reject,153,7,Texas,Dallas,Texas,Slight Shortage,200,2795.65,549.64,2246.01,0.00,0.00,False,reject
base_public_calibrated,always_reject,154,7,Texas,Dallas,Texas,Slight Shortage,200,2760.75,549.64,2211.12,0.00,0.00,False,reject
base_public_calibrated,always_reject,155,7,Texas,Dallas,Texas,Slight Shortage,200,2119.51,549.64,1569.87,0.00,0.00,False,reject
base_public_calibrated,always_reject,156,7,California,Baltimore,Maryland,Slight Shortage,10,9783.66,8143.38,1640.28,0.00,0.00,False,reject
base_public_calibrated,always_reject,157,8,Texas,Dallas,Texas,Slight Shortage,200,2301.15,549.64,1751.52,0.00,0.00,False,reject
base_public_calibrated,always_reject,158,8,Texas,Dallas,Texas,Slight Shortage,200,2429.57,549.64,1879.93,0.00,0.00,False,reject
base_public_calibrated,always_reject,159,8,Texas,Dallas,Texas,Slight Shortage,200,2681.55,549.64,2131.91,0.00,0.00,False,reject
base_public_calibrated,always_reject,160,8,Texas,Dallas,Texas,Slight Shortage,200,2621.55,549.64,2071.91,0.00,0.00,False,reject
base_public_calibrated,always_reject,161,8,Texas,Dallas,Texas,Slight Shortage,200,2653.09,549.64,2103.46,0.00,0.00,False,reject
base_public_calibrated,always_reject,162,8,Texas,Dallas,Texas,Slight Shortage,200,2527.22,549.64,1977.58,0.00,0.00,False,reject
base_public_calibrated,always_reject,163,8,Texas,Dallas,Texas,Slight Shortage,200,2547.63,549.64,1997.99,0.00,0.00,False,reject
base_public_calibrated,always_reject,164,8,Texas,Dallas,Texas,Slight Shortage,200,2765.79,549.64,2216.15,0.00,0.00,False,reject
base_public_calibrated,always_reject,165,8,Texas,Dallas,Texas,Slight Shortage,200,2571.46,549.64,2021.83,0.00,0.00,False,reject
base_public_calibrated,always_reject,166,8,Texas,Dallas,Texas,Slight Shortage,200,3092.74,549.64,2543.11,0.00,0.00,False,reject
base_public_calibrated,always_reject,167,8,Texas,Dallas,Texas,Slight Shortage,200,2951.07,549.64,2401.44,0.00,0.00,False,reject
base_public_calibrated,always_reject,168,8,Georgia,Atlanta,Georgia,Adequate,38,3466.45,500.71,2965.73,0.00,0.00,False,reject
base_public_calibrated,always_reject,169,8,Georgia,Atlanta,Georgia,Adequate,38,3555.56,500.71,3054.84,0.00,0.00,False,reject
base_public_calibrated,always_reject,170,8,Texas,Dallas,Texas,Slight Shortage,200,2316.03,549.64,1766.40,0.00,0.00,False,reject
base_public_calibrated,always_reject,171,8,Georgia,Atlanta,Georgia,Adequate,38,3825.83,500.71,3325.12,0.00,0.00,False,reject
base_public_calibrated,always_reject,172,8,California,Chicago,Illinois,Slight Shortage,10,5823.07,6058.97,-235.90,0.00,0.00,False,reject
base_public_calibrated,always_reject,173,8,Texas,Dallas,Texas,Slight Shortage,200,2970.55,549.64,2420.91,0.00,0.00,False,reject
base_public_calibrated,always_reject,174,8,Texas,Dallas,Texas,Slight Shortage,200,2950.50,549.64,2400.86,0.00,0.00,False,reject
base_public_calibrated,always_reject,175,8,Texas,Dallas,Texas,Slight Shortage,200,2465.24,549.64,1915.60,0.00,0.00,False,reject
base_public_calibrated,always_reject,176,9,Georgia,Atlanta,Georgia,Adequate,38,2697.81,500.71,2197.10,0.00,0.00,False,reject
base_public_calibrated,always_reject,177,9,Georgia,Atlanta,Georgia,Adequate,38,3447.00,500.71,2946.29,0.00,0.00,False,reject
base_public_calibrated,always_reject,178,9,Texas,Dallas,Texas,Slight Shortage,200,2933.74,549.64,2384.11,0.00,0.00,False,reject
base_public_calibrated,always_reject,179,9,California,Chicago,Illinois,Slight Shortage,10,6088.98,6058.97,30.01,0.00,0.00,False,reject
base_public_calibrated,always_reject,180,9,California,Philadelphia,Pennsylvania,Slight Shortage,10,9212.74,7933.09,1279.65,0.00,0.00,False,reject
base_public_calibrated,always_reject,181,9,California,New York,New York,Adequate,10,9341.85,8288.59,1053.26,0.00,0.00,False,reject
base_public_calibrated,always_reject,182,9,Texas,Dallas,Texas,Slight Shortage,200,2127.40,549.64,1577.76,0.00,0.00,False,reject
base_public_calibrated,always_reject,183,9,Texas,Dallas,Texas,Slight Shortage,200,2376.94,549.64,1827.30,0.00,0.00,False,reject
base_public_calibrated,always_reject,184,9,Texas,Dallas,Texas,Slight Shortage,200,2521.16,549.64,1971.53,0.00,0.00,False,reject
base_public_calibrated,always_reject,185,9,Texas,Dallas,Texas,Slight Shortage,200,2804.66,549.64,2255.03,0.00,0.00,False,reject
base_public_calibrated,always_reject,186,9,Texas,Dallas,Texas,Slight Shortage,200,2454.94,549.64,1905.31,0.00,0.00,False,reject
base_public_calibrated,always_reject,187,9,Texas,Dallas,Texas,Slight Shortage,200,2696.07,549.64,2146.43,0.00,0.00,False,reject
base_public_calibrated,always_reject,188,9,Texas,Dallas,Texas,Slight Shortage,200,2481.33,549.64,1931.70,0.00,0.00,False,reject
base_public_calibrated,always_reject,189,9,Texas,Dallas,Texas,Slight Shortage,200,2891.23,549.64,2341.59,0.00,0.00,False,reject
base_public_calibrated,always_reject,190,9,Texas,Dallas,Texas,Slight Shortage,200,3029.75,549.64,2480.11,0.00,0.00,False,reject
base_public_calibrated,always_reject,191,9,Texas,Dallas,Texas,Slight Shortage,200,2539.85,549.64,1990.22,0.00,0.00,False,reject
base_public_calibrated,always_reject,192,9,Georgia,Atlanta,Georgia,Adequate,38,3482.21,500.71,2981.49,0.00,0.00,False,reject
base_public_calibrated,always_reject,193,9,Texas,Dallas,Texas,Slight Shortage,200,2816.59,549.64,2266.95,0.00,0.00,False,reject
base_public_calibrated,always_reject,194,9,Texas,Dallas,Texas,Slight Shortage,200,3092.94,549.64,2543.30,0.00,0.00,False,reject
base_public_calibrated,always_reject,195,9,Texas,Dallas,Texas,Slight Shortage,200,2249.93,549.64,1700.29,0.00,0.00,False,reject
base_public_calibrated,always_reject,196,10,Texas,Dallas,Texas,Slight Shortage,200,2796.25,549.64,2246.62,0.00,0.00,False,reject
base_public_calibrated,always_reject,197,10,Texas,Dallas,Texas,Slight Shortage,200,2418.63,549.64,1869.00,0.00,0.00,False,reject
base_public_calibrated,always_reject,198,10,California,Chicago,Illinois,Slight Shortage,10,6011.32,6058.97,-47.65,0.00,0.00,False,reject
base_public_calibrated,always_reject,199,10,Texas,Dallas,Texas,Slight Shortage,200,2573.90,549.64,2024.27,0.00,0.00,False,reject
base_public_calibrated,always_reject,200,10,Texas,Dallas,Texas,Slight Shortage,200,2630.89,549.64,2081.26,0.00,0.00,False,reject
base_public_calibrated,always_reject,201,10,Texas,Dallas,Texas,Slight Shortage,200,2421.79,549.64,1872.16,0.00,0.00,False,reject
base_public_calibrated,always_reject,202,10,Texas,Dallas,Texas,Slight Shortage,200,2576.45,549.64,2026.82,0.00,0.00,False,reject
